Key,Value
*bʰeh₁dʰ-{1},to harass
*bʰeh₁g̑ʰ-{1},to become annoyed
*bʰei̯H-{0},to hit
*bʰlei̯g̑-,to hit
*gʷʰen-,to hit
*kelh₂-,to hit
*krek̑-,to hit
*pi̯eh₂-{1},to hit
*pleh₂g-{1},to hit
*u̯elh₃-{1},to hit
3.*per-,to hit
?*bʰeu̯d-{1},to hit
?*bʰleh₂g-{1},to hit
?*kh₂ei̯d-{1},to hit
?*slak-{1},to hit
?*telk-{1},to hit
?2.*bʰleu̯H-{1},to hit
"bʰei(ə)-, bʰī-",to hit
"dʰelgʰ-, dʰelg-",to hit
1. krek-,to hit
2. kret-,to hit
teleǵʰ-,to hit
*bʰei̯d-,split; divide
?*(s)pelt-{1},split; divide
?2.*(s)kel-{1},split; divide
*bʰei̯dʰ-,confide in oneself
*bʰei̯h₂-{0},to become afraid
*bʰelg̑ʰ-{1},to swell
*h₂ei̯d-{1},to swell
*k̑u̯eh₁-{1},to swell
*tu̯em-{0},to swell
1.*pei̯H-{1},to swell
?*bʰrenk-{1},to swell
?*su̯elH-{1},to swell
"baˣb-, bʰaˣbʰ-, paˣp-",to swell
"baˣmb-, bʰaˣmbʰ-, paˣmp-, pʰaˣmpʰ-",to swell
bed-,to swell
bʰlegʷ-,become bloated
"1. ḱeu-, ḱeu̯ə- : ḱū-, ḱu̯ā-",to swell
2. med-,to swell
melǵʰ-,to swell
"pank-, pang-",to swell
"tēu-, təu-, teu̯ə-, tu̯ō-, tū̆-",intumesce
*bʰerH-{1},process with sharp tools
*bʰerh₂-{1},move quickly
*bʰeu̯dʰ-,become attentive
*h₁ger-{1},wake up
*bʰeu̯gʰ-{1},to bend oneself.
?*k(ʷ)eu̯k-{1},to bend oneself.
*bʰleg/g̑-,shine; sparkle
?*bʰlei̯g-{1},shine; sparkle
?2.*su̯ei̯d-{1},shine; sparkle
*bʰleh₃-{1},to bloom
dʰā̆l-,be green
*bʰreg/g̑-{1},to break (intransitive)
*bʰrei̯H-,to cut
*temh₁-{1},to cut
?*snedʰ-{1},to cut
?*snei̯t-{1},to cut
ḱes-,to cut
"plē-, plə-",split off
sneit-,to cut
"1. tem-, tend-",to cut
tu̯erḱ-,to cut
*bʰrekʷ-,crowd together
*bʰremH-{1},to be restless
*bʰreu̯s-{1},to break
1. bʰreǵ-,to break
leuǵ-,to break
"u̯rēǵ-, u̯rōǵ-, u̯rəǵ-",to break
*deh₂u̯-{1},caught on fire
*dei̯h₁-{1},chase there
*dek̑-,(an-
*dek̑s-{1},to be capable
*delgʰ-{1},to hew
*g/g̑leu̯bʰ-,to cut out
*delg̑ʰ-{1},become firm
*peh₂g̑-{1},become firm
*denk̑-{1},to bite
denḱ-,to bite
*dens-,become proficient
*der-{1},tear (intrans.)
*derk̑-,hinblicken
*deu̯h₂-{1},join together
*deu̯k-{0},to pull/draw/move
*selk-{0},to pull/draw/move
*tens-{1},to pull/draw/move
*tʰengʰ-{1},to pull/draw/move
*dregʰ-{1},to hold on/to grasp/to capture
*meth₂-{1},tear off
*pleh₁k̑-{1},tear off
*dreu̯-{1},run/walk
*h₂u̯ei̯-,run/walk
*ret-{1},run/walk
1.*k/k̑ers-{1},run/walk
?*du̯er-{1},run/walk
?2.*u̯er-{1},run/walk
*du̯eH-{1},(ein)tauchen' (intr.)
*du̯ei̯-{1},to be scared
*h₂egʰ-{1},to be saddened
*dʰalh₁-{1},to sprout
bʰrendʰ-,swell up
"ǵēi-, ǵī-",to sprout
*dʰeHbʰ-{1},fit; match; suit
*dʰegʷʰ-,treat with fire
*dʰeh₁(i̯)-,suck (breast milk)
"ereb-, orob-, rōb-",to drill
*dʰenh₂-,to get going
*dʰerg̑ʰ-,(to) turn (oneself)
*dʰers-,Gather courage
*dʰeu̯gʰ-,meet/encounter
*dʰgʷʰei̯-{1},(disappear or perish) due to heat
*dʰrebʰ-,to curdle
4. i̯eu-,hold apart
ḱþei-,to settle
*temk-{1},to solidify
*dʰregʰ/g̑ʰ-{0},to pull
*h₂u̯elk-{1},to pull
dʰreǵ-,to pull
*dʰreh₂gʰ-,to be agitated
*dʰu̯eh₂-{1},to make smoke
*dʰu̯es-{1},(inhale
*g(ʷ)eg̑ʰ-{1},(into the water) penetrate
*g(ʷ)eldʰ-{1},becoming greedy
*g(ʷ)erdʰ-,hear; sound
*g(ʷ)ʰrend-{1},"(zer)reiben"" [UNKNOWN]"
*g/g̑eh₂dʰ-{1},to be filled with joy
*meu̯d-{1},to be filled with joy
*g/g̑eh₂u̯-{1},to be happy
?*bʰend-{1},to rejoice
?2.*pek̑-,to be happy
*g/g̑ei̯s-{1},to pivot
*h₂u̯erg-{1},to turn around
?*greng̑ʰ-{1},to turn
?*treh₁-{1},to turn
*gelH0-,Get power over
*gerbʰ-,to carve
*rei̯k(ʷ)h₂-{1},to scrape
gerebʰ-,scratch; write
2. smēi- : sməi- : smī̆-,work with sharp tool
*glei̯H-{1},to spread; to stick
*gʰebʰ-{1},fassen
*gʰed-{1},to grasp/ to comprehend/ to understand
*tu̯erH-{1},to grasp/ to comprehend/ to understand
*gʰrebh₂-{1},to seize
*gʷeh₂-,to set foot
*gʷeh₂dʰ-{1},dive in
"1. gʷēbʰ-, or gʷābʰ-?, gʷəbʰ-",to plunge
*gʷei̯-{1},(be)siegen
*gʷem-,(wohin) gehen
*gʷerH-{1},Express agreement.
*gʷerh₃-,to devour
*gʷg̑ʰer-{1},im Wasser dahintreiben
*gʷʰer-,to warm up
2.*k̑el-{1},to warm up
*gʷʰreh₁-{1},to smell something
*g̑elh₂-{1},to burst out laughing
*g̑erh₂-,wear out
*g̑i̯eu̯H-{1},to chew
?*bʰseH-{1},to chew
"g(i̯)eu-, ǵ(i̯)eu-",to chew
*g̑ʰed-{1},"scheißen"" [UNKNOWN]"
*k̑er(H)-{1},"scheißen"" [UNKNOWN]"
?*dʰrei̯d-{1},"scheißen"" [UNKNOWN]"
*g̑ʰei̯s-{1},to frighten/startle
*g̑ʰei̯sd-{1},to frighten sb.
*g̑ʰengʰ-{1},to stride
?*gʰrei̯dʰ-{1},to stride
*g̑ʰers-{1},to stiffen
?*bʰrei̯Hk-{1},to stand up
*g̑ʰu̯er-{1},walk crooked
*h₁ed-,(bite →) eat
*h₁eh₁s0-,to sit
ē̆s-,to sit
*h₁ei̯sh₂-{1},strengthen; drive
*h₁er-{1},where to get
*h₁eu̯k-,to get used to
*h₁lei̯g̑-,to start trembling/quivering
*h₁leng/g̑ʰ-,finally assure
*h₁lengʷʰ-{1},move effortlessly
*h₁nedʰ-{1},to emerge
*melh₃-,to emerge
*h₁rei̯-{1},to rise up
*nei̯k-{1},to rise up
*h₁rem-{1},calm down
*h₁u̯egʷʰ-,speak solemnly
*h₂ed-,to dry up
*h₂eh₁-{1},to be hot
*u̯erH-{1},to be hot
1.*tep-,to be warm
*h₂eh₁s-{1},(dry up) due to heat.
*h₂ek̑-,to be/become/make sharp
*h₂ek̑h₃-{1},(to) eat up
*h₂eldʰ-{1},achieve happily
*h₂elgʷʰ-{1},bring in (as revenue)
*h₂elh₂-,aimless walking
*h₂emH-{1},to water
4. lē̆i-,to pour
"1. pel-, pelə-, plē-",fill; full
*h₂emg̑ʰ-{1},(zu)schnüren’ → ‘beengen
*h₂emh₃-{1},anfassen
*h₂en-{1},to scoop/draw
*h₂eu̯s-,to scoop/draw
*semH-{1},to scoop/draw
*h₂es-{1},to be satisfied
1.*seh₂(i̯)-{1},to be satisfied
*h₂eu̯H-{1},(put on) footwear
*h₂eu̯g-,become strong
*h₂leg/g̑-,take care of
*h₂leu̯-,keep away
*h₂merg̑-{0},to strip off
*h₂res-{1},to refuse oneself
*h₂seu̯s-{1},to become dry
?*treu̯g-{1},to become dry
*h₂teu̯g/g̑-{1},Spread terror
*h₂u̯edH-{1},to speak
*su̯enh₂-,to ring
?*bʰelH-{1},to boom
?*ned-{1},to boom
ǵʰu̯en-,to sound
"6. au̯-, au̯ed-",to speak
2. bʰā-,to speak
i̯ek-,to speak
tolkʷ-,to speak
6. u̯er-,talk formally
*h₂u̯eg/g̑ʰ-{1},speak meaningfully
*h₂u̯eh₁-,blow; wave; labor pains
*h₂u̯eks-{1},(grow up) to grow
*h₂u̯er-,to hang (intransitive)
*u̯ert-,to turn around
*h₃elh₁-,to perish
*h₃erg-{1},to perish
*h₃er-{1},to set in motion (forward)
*h₃mei̯g̑ʰ-,"harnen"" [UNKNOWN]"
*h₃nei̯d-,to disparage
*h₃rei̯H-{1},wallen
*h₃reu̯H-{1},to roar
*h₃reu̯k-,(aus)graben
*i̯ebʰ-{0},eingehen
*i̯eh₃s-,gürten [UNKNOWN]
*i̯et-,to stand (firmly)
*i̯eu̯g-,to harness
*i̯eu̯g̑H-{1},become restless
*k(ʷ)erk̑-,to thin down/lose weight
*k(ʷ)leh₂-{1},lay down
1.*peth₂-{1},spread out
*k/k̑agʰ-{1},(to) comprehend; (to) grasp; (to) enclose; (to) frame
*kelH-{1},to protrude
*kenh₁-{1},to exert oneself
treg-,use all one's strength; battle
*kes-,to organize
*keu̯bʰ-{1},to cower
?*leu̯d-{1},to crouch
*keu̯p-{1},(innerlich) beben
*knei̯d-{1},scratching
*ksen-{1},Roll up wool
*kʷem-,(swallow) down
*kʷer-,(ab)schneiden
*kʷi̯eh₁-,to rest
"2. erə-, rē-",be still
*k̑ad-{1},fallen [UNKNOWN]
*peth₁-{1},fallen [UNKNOWN]
?*peh₃lH-{1},fallen [UNKNOWN]
?2.*k̑ei̯-{1},fallen [UNKNOWN]
*k̑eHs-{1},to direct
*k̑eNs-{1},announce; estimate (publicly)
*k̑eh₂d-{1},to be mentally upset
*k̑elH-{1},getting cold
*k̑emh₂-,become tired; toil
*k̑enk-{1},to be in suspense
*k̑ep-{1},(to) curse
*k̑es-{1},(to) cut (off)
2.*kers-{1},(to) cut (off)
*k̑lei̯-,to lean on
*k̑leu̯s-{1},(to) listen
*k̑rei̯H-,to stand out
*k̑reth₂-,to loosen
*k̑u̯ei̯t-,shine brightly
*k̑u̯enk-{1},bend up or down
*k̑u̯es-{1},schnaufen
*legʰ-,to lie down
?2.*gu̯el-{1},to lie down
*leh₁-{1},"decrease,allow"
*lei̯d-,(let) go
*lei̯g̑ʰ-,lecken
*lembH-{1},hanging limp
*lendʰ-{1},to descend downwards
*lep-{1},to peel
*leu̯k-,to become bright
*mad-{1},to be/become wet
*masd-{1},to be/become fat
*meh₁-{1},"(ab)messen"" [UNKNOWN]"
*meh₂-,give signs
*meh₃-{1},to cause trouble
*meld-{1},become soft
*menH-,treten
*mers-{1},forgotten
*mes-{1},stretch out the arm
*mi̯eu̯h₁-{1},move (oneself)
*mneh₂-{1},think of
*neh₂-{1},getting into fear
*nes-,come away from it
*peH-{1},to move
"2. meu̯-, meu̯ə-",push away
1. rebʰ-,hurry about
*peh₁i̯-{1},to revile
*peh₂k̑-,to moor
*pei̯k̑-{1},cut out
1. bel-,to cut off
*pei̯s-,to push (away)
greut-,press; curd
2. gʰrēu- : gʰrəu- : gʰrū-,rub sharply
*pelh₁-{1},bring into motion/bring into momentum
*pelh₂-,Approach [UNKNOWN]
*pent-{1},(find a way) find
*perd-,(loudly) fart
*perh₃-,obtain/provide/gain
*pleh₁-{1},to become full
"1. perk-, prek-",to fill up
*pleth₂-{1},to spread
*pneu̯H-{1},to become conscious
*preK-{1},to be afraid
*preh₁-,to kindle
"dʰem-, dʰemə-",fly about like dust
1. pē̆s-,to blow
"3. u̯ē-, u̯ə-",to blow
*prei̯H-{1},'familiar
*prep-{1},to appear
?*i̯ek(ʷ)s-{1},to appear
ḱrei-,show forth
*pres-{1},to inject
*pteh₂k-{1},to crouch down
teup-,conceal oneself
*regʰ-{1},to straighten up
*reh₁dʰ-{1},successfully carry out
*rei̯dʰ-,move in a swaying motion
*reu̯H-{1},to tear open
*reu̯s-{1},to rummage
*seHdʰ-{1},to reach the goal
*sed-,to sit down
*seh₁-,‘press
*seh₁p-{1},perceive (through taste)
*seh₂g/g̑-,to follow a trail
*sei̯b-,let flow; let run
*sek-,dry up
*sekH-{1},abtrennen’: 1. ‘cut’
1.*seh₁(i̯)-{1},let go
*selh₂-,become gracious
1. gʰrēu- : gʰrəu- : gʰrū-,to collapse
*senh₂-,to achieve
*sent-,‘gehen’ → ‘wahrnehmen’ (?) [UNKNOWN]
*serh₃-,(to go against) with hostile intent
*seu̯k̑-{1},to suck
bdel-,to suck
ǵeid-,to suck
*skeu̯h₂-{1},poking
*sk̑ʰeh₂(i̯)-{1},to skin
?*stelg/g̑-{1},smooth out
*smerd-{1},(bad) smell
*sneh₁-,to spin
?*k/k̑leh₃dʰ-{1},to spin
kolə- : klō-,to spin
"(s)nē-, and (s)nēi-",twist threads together
*sneu̯-{1},to drip
?*g(ʷ)ʰer-{1},to drip
?*leg/g̑-{1},to drip
?*stelh₂k/k̑-{1},to drip
"sei-, soi-",be damp
*sneu̯bʰ-{1},marry (by the woman)
*sperdʰ-{1},to run away
*sperg̑ʰ-,hurry up
*speu̯d-,hurry up
*spti̯eu̯H-{1},to spit
*spʰerH-{1},(with the foot) to push
*srebʰ-,to slurp
*stebʰ-{1},to solidify
2.*terp-{0},to solidify
*steh₂-{1},where to step
*stembʰH-{1},to support oneself
*ster-{1},niederstrecken’{1a} [UNKNOWN]
*sterg-,to worry about
*sterh₃-,to spread out
*steu̯-,bekannt sein; preisen
*strengʰ-{1},to twist together
*streu̯-,to scatter
?*u̯ep-{1},to scatter
*streu̯g-,to wipe
*su̯eh₂d-{1},become tasty
*su̯ep-,to fall asleep
*tei̯h₁-{1},become hot
*telH-{1},become still
?*melk(ʷ)-{1},become still
*telp-{1},Create space
*temH-{1},becoming exhausted
*ten-{1},to stretch
?*g̑rei̯-{1},to extend
*terh₂-{1},get through
*terkʷ-{1},to rotate
*ters-,wither; become thirsty
*teu̯h₂-{1},‘swell
*th₂eu̯s-{1},to be silent
*ti̯egʷ-,to withdraw oneself
*tk/k̑en-{1},to deliver a blow
*trem-,tremble (with fear)
*trenk-{1},to urge
*tres-,(tremble) from fear
*treu̯H-{1},to wear out
*tu̯ei̯s-{1},to shock
?*dʰeu̯dʰ-{1},to rock
*tu̯ek-{1},be visible
pā̆r-,to show
*tu̯enk-{1},to pressure
*u̯ed-{1},gush forth; well up; spring up; emanate; originate
*u̯egʷ-{1},make wet
*u̯eg̑ʰ-,float; drive
*u̯eh₂dʰ-{1},to step through
*u̯ei̯d-,to catch sight of
prep-,to catch sight of
*u̯ei̯g-{1},to be set in motion
*u̯ei̯h₁-,strive for
i̯et-,to set out
"sē[i]dʰ- : sī̆dʰ-, and sədʰ-",to aim at
*u̯ei̯k̑-{1},going into
*u̯ei̯p-,to get into a swinging/trembling movement
*u̯elh₁-{0},(aus)wählen
*u̯elh₁bʰ-{1},confuse (through puzzles)
*u̯elp-{1},hope to draw
*u̯enH-{1},to grow fond of
*u̯endʰ-{1},(to) wind (around)
*u̯erg̑ʰ-,(to) tie
*u̯erp-,hin- und herdrehen (?) [UNKNOWN]
*u̯et-,to be familiar with
*u̯reg-{1},follow a trail
*u̯rei̯k̑-,turn; wrap
*u̯remb-,(to) turn
1.*(s)k/k̑er-,to swing
breuq-,to jump
"1. ḱāk- : ḱək-, probably ḱā[i]k- : ḱīk-",spring out
"2. (s)ker-, skerə- : skrē-",to jump
?*k(ʷ)su̯ei̯bʰ-{1},to swing
1.*(s)kep-{1},hacking
1.*(s)pelH-{1},speak publicly
1.*dreh₂-{1},(to) run away
1.*drem-{1},(where) to run
?*k(ʷ)enH-{1},get into joy.
1.*h₁ai̯-{1},give; take
1.*h₁es-{1},to be
"bʰeu-, bʰeu̯ə-, bʰu̯ā-, bʰu̯ē- : bʰō̆u- : bʰū-",prosper
es-,is
1.*h₂eg̑-{0},to drive
?*dʰrei̯bʰ-{1},to drive
1.*h₂er-{0},to fit (together)
1.*h₂u̯es-{1},(in the morning) to become light
1.*h₃ed-,begin to smell
1.*h₃ep-{1},produce; manufacture; create; establish
leuk-,shine; see
"u̯lek-, u̯l̥k-",shine; fiery
1.*kerH-{1},remember with praise
1.*k̑ei̯-,to be situated
1. leugʰ-,belie
1.*leh₂-{1},barking
1.*lei̯H-{1},snuggle up
1.*lei̯t-{1},(weg)gehen
1.*mei̯-{1},to fasten
1.*meldʰ-{1},letting go of
1.*men-,grasp a thought
1.*nebʰ-{1},become humid
1.*pek̑-,plucking or tousling (wool or hair)
1.*rebʰ-{0},to move (vigorously)
1.*sekʷ-,to join
1.*ser-,to protect
aleq-,ward off
1.*skend-{1},(los)springen
1.*spend-,libieren [UNKNOWN]
1.*su̯ei̯d-{1},to break out in a sweat
1.*tend-{1},to become weary
?2.*h₁ai̯-{1},to be warm
tep-,tepid
1.*terp-,to satisfy oneself
1.*teu̯s-,be satisfied
1.*u̯el-{1},to cover
2. puḱ-,press together
sḱed-,to cover
1.*u̯elH-{1},to be strong
1.*u̯elg-,to move rolling (?)
1.*u̯es-,(Clothing) to have on
2.*(s)kend-{1},to shine brightly
3. dʰeu-,to shine brightly
2.*bʰeu̯g-{1},benefit someone
2.*bʰreu̯H-{1},to break open
2.*dʰembʰ-{1},"(brand)bestatten"" [UNKNOWN]"
2.*h₂u̯es-,(ver)weilen
2.*h₃ed-{1},begin to hate
2.*i̯eh₂-{1},to strive for
"4. perḱ-, preḱ-, pr̥ḱ-",ask/pray for
2.*men-,bleiben
2.*nem-,to lean
?*u̯rep-{1},to lean
2.*peth₂-,(to) fly (up)
2.*peu̯H-{1},rotting
2.*seg/g̑-{1},salves
2.*smer-{1},to receive a share
2.*teng/g̑-,dünken
2.*teu̯s-{1},to be/become empty
2.*trep-,to turn/turning
2.*u̯erg̑-{1},wirkung
2.*u̯es-{1},(ver)kaufen
3.*leh₂-{1},to hide oneself
3.*sel-,to creep; to sneak
3.*u̯erg̑-{1},to shear
?*(h₁)reh₁s-{1},to plunge
?*(h₁)rei̯d-{1},(to) lean (oneself)
?*(s)k(ʷ)rei̯-{1},describe a circle.
?*(s)tegʷʰ-{1},to crown
?*Heu̯-{1},to weave
"ent-, better ant-?",to weave
?*Hu̯eRdʰ-{1},grow big/strong
?*Ki̯eh₂p-{1},to rot
3. el- : ol-,be moldy
"1. merk-, merǵ-, merək-, merəǵ-",to rot
?*bʰRenk̑-{1},to fall off
?*bʰeh₁-{1},to warm
?*g(ʷ)ʰers-{1},to be glad
gāu-,be glad
?*bʰerdʰ-{1},erbeuten
?*bʰes-{1},(to) chew
?*bʰlei̯d-{1},overflowing
?*bʰlendʰ-{1},become dull
?*bʰleu̯dh₂-{1},to dissolve
?*bʰleu̯k-{1},to become pale
?*bʰredʰ-{1},to wade
?*bʰreu̯k-{1},to paint; to stripe
?*bʰreu̯k̑-{1},to scrape off
?*derdʰ-{1},(to) fall asleep
?*deu̯s-{1},to lack
"1. ǵʰē-, ǵʰēi-",be empty; leave
1. kret-,to shake
"kreu-t-, kreu-dʰ-?",move visibly
"u̯i̯etʰ-, u̯itʰ-",to shake
?*g(ʷ)eRg̑ʰ-{1},to complain
"mēudʰ-, məudʰ-, mūdʰ-",care about
?*g(ʷ)eu̯-{1},multiply; increase
?*g(ʷ)eu̯H-{1},to gain
?*g(ʷ)renth₂-{1},to link
?*g(ʷ)ʰeu̯s-,(Sounds) hear
?*g/g̑ʰei̯g/g̑ʰ-{0},lechzen [UNKNOWN]
?*gʰrei̯bʰ-{1},to grab/to grasp/to seize
?*g̑(ʰ)u̯elg(ʷ)ʰ-{1},to look at
?*g̑eu̯H-{1},to set oneself in quick motion
?*g̑i̯eH-{1},to deprive
?*g̑ʰeRH-{1},to be angry
?*g̑ʰneu̯-{1},to be ashamed
aigʷʰ-,to be ashamed
?*g̑ʰrei̯H-{1},to curl one's lips
?*h₁eg/g̑H-{1},(er)mangeln
?*h₁erh₂-{1},to love
"1. u̯en-, u̯enə-",strive/wish for
?*h₁erk-{1},to cut into pieces
?*h₂elg/g̑ʰ-{1},to freeze
?*h₂ent-{1},To initiate
?*h₂mert-{1},to miss
?*trei̯K-{1},to miss
?*h₂seu̯t-{1},well up
?*h₃ei̯gʰ-{1},(go) away
?*h₃ei̯t-{1},to take with
?*h₃peu̯s-{1},to multiply
?*h₃u̯ei̯g-{1},öffnen [UNKNOWN]
?*i̯em-{1},reach out
"reiǵ-, rēiǵ-",to reach
?*k(ʷ)RemH-{1},take a step
?*k(ʷ)RepH-{1},to whine/complain/moan
"sē̆ik-, sī̆k-",to grip
?*k(ʷ)lenk(ʷ)-{1},bend the knees
?*k/k̑end-{1},to stand out/ excel/ to distinguish oneself
?*k/k̑eu̯bh₂-{1},lie down
?*kei̯t-,to glow
au̯es-,to shine
"1. bʰā-, bʰō-, bʰə-",glisten
bʰeigʷ-,glitter?
bʰeleg-,glisten
2. ḱeu-,be bright
1. su̯eid-,glisten
"kand-, skand-, and Indo-Iranian (s)kend-",shine; bright
?*kleu̯H-{1},wohin geraten (?) [UNKNOWN]
?*ku̯ei̯t-{1},erglänzen’ (?) [UNKNOWN]
?*ku̯ep-{1},to breathe
?*k̑eu̯bʰ-{1},become/beautiful
?*k̑eu̯dʰ-{1},to become clean
?*k̑lei̯s-{1},sticking
?*k̑sed-{1},'zerlegen' → 'auftischen' [UNKNOWN]
?*las-{1},be unrestrained
?*leh₂dʰ-{1},remain hidden
?*leh₂k-,1 'noise'
?*lei̯k-{1},to be on sale/to offer for sale
?*lek-{1},move the limbs’ (?)
?*leu̯p-{1},(to) peel
?*mei̯k/k̑h₂-,aufblitzen (?) [UNKNOWN]
?*mei̯s-{1},to open one's eyes
?*meu̯s-{1},to close oneself
?*mi̯ek̑s-{1},to settle (at/on/in)
?*nei̯d-{1},flow; stream
?*nerH-{1},to go underground
?*peh₂u̯-{1},stop; end
?*pel-{1},flare up
?*peu̯k-{1},to exhale
?*pneu̯-{1},to exhale
?*pleh₂k-{1},to hit (also as a gesture)
?*pleh₃k-{1},to satisfy
?*pleu̯d-{1},swim; flow
?*rei̯s-{1},to take damage
?*seh₁k̑-{1},to be there
?*sei̯dʰ-,drift away
?*seu̯-{1},to squeeze out
?*seu̯H-{1},give birth; bear
?*seu̯h₃-{1},to be/become full
?*skeHt-{1},jump out
?*skerdʰ-{1},schneiden
?*skrei̯t-{0},‘go in circles’ (?)
?*sk̑end-{1},(to) appear
?*sk̑erd-{1},to eject
?*sleh₁b-{1},to be limp
?*slei̯b-{1},schleifen
?*spʰei̯g-{1},to lace up
?*steh₂g/g̑-{1},to trickle; to drip
?*stei̯b-{1},make stiff/firm
?*stei̯p-,make stiff
?*sti̯eH-{1},become stiff
?*su̯ei̯gʷ-{1},dodge; abandon
?*su̯eng-{1},to embrace
?*su̯erbʰ-{1},rub off
?*su̯ergʰ-{1},being sick; worrying
?*teh₂k/k̑-{1},melt (intr.)
?*teu̯H-{1},(friendly) to observe
?*tresk̑-{1},thresh
?*u̯Resk(ʷ)-{1},chop off
?*u̯elk-{1},to be/become wet/humid
?*u̯enT-{1},to sleep over
?*u̯eng-,to bend (oneself)
1. gel-,form into ball; round
?*u̯red-{1},become/make soft
?1.*(s)kel-{1},to become guilty
?1.*(s)prend-{1},spannen’ (?) [UNKNOWN]
?1.*dʰembʰ-{1},erstaunen (intr.)
?1.*u̯ei̯k-{1},sift out; to weed out.
?2.*(s)pend-{1},tension; to tighten
?2.*(s)prend-,to open
"3. perḱ-, pr̥ḱ-",dig out
"2. reu-, reu̯ə- : rū̆-",tear out
?2.*dʰreu̯gʰ-,to pledge allegiance
?2.*i̯eu̯-{1},(sich) fernhalten; weichen
?2.*pei̯g/g̑i-{1},to annoy
?2.*reu̯dʰ-{1},to clear-cut
?2.*seh₂(i̯)-{1},to rampage'
"rabʰ-, or rebʰ- : r<sub>e</sub>bʰ-",be furious
?2.*steu̯d-{1},to get cold
?2.*su̯el-{1},"(ver)schlucken"" [UNKNOWN]"
?2.*tep-{1},smear; stick
?2.*u̯elg-{1},to become moist
?3.*dʰembʰ-{1},(zer)schlagen’ (?)” [UNKNOWN]
?3.*h₂er-{1},speak weightily/loudly
?3.*men-{1},protrude
"3. gʰer-, gʰrē- : gʰrō- : gʰrə-",to come out
ā,(an exclamation)
1. ai,(an exclamation)
2. ad-,put in order
2. dʰabʰ-,suit; proper
"ades-, ados-",spelt (type of grain)
"1. nei-, neiə- : nī-",to lead
"2. u̯edʰ-, before nasals u̯ed-",to lead
aǵʰ-,animal that may bear young
agʰl(u)-,dark cloud; rainy weather
3. ai-,to give
4. al-,to burn
"ā̆s-, based on it azd-, azg(ʰ)-",glow; ash
bʰleu-(k-),to burn
dʰegʷʰ-,to burn
eus-,to burn
