Key,Value
tegu-,"thick.s.10, thick.s.02, fat.a.01, fat.s.05, thick.s.07, fat.s.04, thick.a.01, fat.s.02, thick.a.03, thick.r.02, fat.n.01"
5. del-,"long.s.09, long.a.02, long.a.01, long.a.06, long.a.05, long.s.07, long.s.03, long.r.01, long.r.02"
"u̯azdʰ-, better u̯ozdʰ-","long.s.09, wide.s.07, wide.s.06, long.a.02, long.a.01, long.a.06, long.a.05, long.s.07, long.s.03, wide.a.01, wide.a.05, long.r.01, long.r.02, wide.r.04, wide.r.01, wide.r.03, wide.r.02"
*bʰeng̑ʰ-,"tight.s.06, tight.s.14, tight.a.07, tight.a.01, tight.s.09, tight.s.03, fasten.v.03, fasten.v.01, fasten.v.02"
anǵʰ-,"tight.s.06, tight.s.14, tight.a.07, narrow.s.02, tight.a.01, tight.s.09, tight.s.03, narrow.a.01, strait.s.01, narrow.a.04, narrow.n.01, narrow.v.01"
"strenk-, streng-","tight.s.06, tight.s.14, tight.a.07, tight.a.01, tight.s.09, tight.s.03, string.n.01, string.n.03, string.n.09, string.n.05, string.n.04, string.n.08, string.n.07, string.v.02, string.v.07, string.v.01, string.v.06, string.v.05, string.v.04, string.v.03"
5. u̯er-,"close.s.05, close.s.04, close.a.01, close.a.02, close.s.15, close.s.07, close.s.06, close.s.13, close.s.12, close.s.11, close.s.10, close.s.09, close.r.02, save.n.01, close.v.17, save.v.06, close.v.06, warn.v.04, warn.v.03, warn.v.01, warn.v.02, close.v.01, close.v.02, close.v.15, close.v.14, close.v.13, close.v.12, close.v.11, close.v.10, close.v.09, save.v.02, save.v.05, save.v.04, save.v.09, close.v.08, close.v.04, save.v.03, close.v.07"
"11. u̯er-, u̯erə-","veracious.s.02, veracious.s.01, very.s.01, trustworthy.s.02, trustworthy.a.01, very.r.01, much.r.02, most.r.02, very.r.02"
ū̆d-,"away.s.03, out.s.09, out.s.08, out.s.07, away.a.02, out.s.06, out.s.03, away.s.01, out.a.01, out.s.04, out.r.01, away.r.01, away.r.02, out.r.02, away.r.04, away.r.06, away.r.10, away.r.09, away.r.07, away.r.08, out.n.01, out.v.03, out.v.02"
"pelə-, plā-","wide.s.07, flat.s.15, wide.s.06, flat.s.14, broad.s.08, broad.s.04, flat.s.02, flat.s.01, flat.a.05, broad.s.03, broad.s.05, flat.s.12, flat.s.04, broad.s.07, broad.s.06, flat.s.11, flat.a.06, flat.s.10, wide.a.01, wide.a.05, flat.r.01, wide.r.04, wide.r.01, wide.r.03, wide.r.02, flat.n.06, flat.n.05, flat.n.02, plane.n.05, plane.n.04, flat.n.03, flat.n.01, broad.n.01, plane.n.02, plane.n.03, plane.v.01, plane.v.03, plane.v.02"
"1. plā-k- : plə-k-, ple-k- : plō̆-k-, plei-k-, and pelə-g- : plā-g- : plə-g-","wide.s.07, flat.s.15, wide.s.06, flat.s.14, flat.s.02, flat.s.01, flat.a.05, flat.s.12, flat.s.04, flat.s.11, flat.a.06, flat.s.10, wide.a.01, wide.a.05, flat.r.01, wide.r.04, wide.r.01, wide.r.03, wide.r.02, flat.n.06, flat.n.05, flat.n.02, flat.n.03, flat.n.01"
"plā̆t-, plā̆d-, plē̆t-, plō̆t-, plət-","wide.s.07, flat.s.15, wide.s.06, flat.s.14, flat.s.02, flat.s.01, flat.a.05, flat.s.12, flat.s.04, flat.s.11, flat.a.06, flat.s.10, wide.a.01, wide.a.05, flat.r.01, wide.r.04, wide.r.01, wide.r.03, wide.r.02, flat.n.06, flat.n.05, flat.n.02, flat.n.03, flat.n.01"
9. u̯er- : u̯<sub>e</sub>ru-s,"wide.s.07, wide.s.06, broad.s.08, broad.s.04, broad.s.03, broad.s.05, broad.s.07, broad.s.06, wide.a.01, wide.a.05, wide.r.04, wide.r.01, wide.r.03, wide.r.02, broad.n.01"
"neu̯os, neu̯i̯os","new.s.11, new.s.04, new.s.10, new.s.08, new.a.01, recent.s.01, new.s.05, new.a.06"
"su̯ento-, sunto-","active.a.05, active.a.14, active.a.07, active.a.01, active.a.03, active.a.13, active.a.12, active.a.11, active.a.10, active.a.06, active.a.09, sound.s.09, vigorous.s.01, active.s.08, healthy.a.01, active.s.04, active.s.02, healthy.s.04, sound.s.07, vigorous.s.02, sound.a.01, healthy.s.02, sound.a.03, healthy.s.03, sound.n.01, sound.n.02, sound.n.04, sound.n.08, active.n.03, sound.n.03, sound.v.01, sound.v.03, sound.v.02, sound.v.06, sound.v.04"
pos,"about.s.01, about.r.03, about.r.02, about.r.05, about.r.04, about.r.07, about.r.06"
gʷʰer-,"hot.s.21, hot.s.20, hot.s.19, warm.s.10, hot.s.18, warm.s.09, warm.s.08, hot.s.17, hot.s.16, hot.s.15, hot.a.01, hot.a.03, hot.s.06, hot.s.14, hot.s.13, hot.s.12, hot.s.11, hot.s.05, hot.s.10, hot.s.09, hot.s.02, hot.s.08, warm.a.01, warm.a.02, warm.a.03, hot.s.04, warm.v.02, warm.v.01"
"apo-, pō̆, ap-u, pu","off.s.05, off.a.01, off.a.03, off.s.02, off.s.04, off.r.03, off.r.02"
*reu̯h₁-{1},"open.s.21, open.s.06, up.s.06, open.s.14, open.a.01, open.a.02, open.a.05, open.s.10, open.a.11, open.s.04, open.s.07, open.s.13, open.s.12, open.s.17, open.n.04, open.n.03, open.n.01, open.v.06, open.v.07, open.v.09, open.v.01, open.v.03, open.v.11, open.v.04, open.v.02, open.v.08"
7. u̯er-,"open.s.21, open.s.06, up.s.06, open.s.14, open.a.01, open.a.02, open.a.05, open.s.10, open.a.11, open.s.04, open.s.07, open.s.13, open.s.12, open.s.17, open.n.04, open.n.03, open.n.01, open.v.06, open.v.07, open.v.09, open.v.01, open.v.03, open.v.11, open.v.04, open.v.02, open.v.08"
andʰo-,"dark.s.11, dark.s.03, dark.a.01, somber.s.02, dark.a.02, dark.s.08, dark.s.06, blind.s.02, blind.s.03, dark.s.05, blind.a.01, blind.n.03, blind.n.02, dark.n.05, blind.n.01, dark.n.01, blind.v.03, blind.v.02, blind.v.01"
neuk-,"dark.s.11, dark.s.03, dark.a.01, dark.a.02, unclear.a.02, dark.s.08, indistinct.a.01, dark.s.06, dark.s.05, dark.n.05, dark.n.01"
5. rē-,"dark.s.11, dark.s.03, dark.a.01, dark.a.02, dark.s.08, dark.s.06, dark.s.05, dark.n.05, dark.n.01"
tem(ə)-,"dark.s.11, dark.s.03, dark.a.01, dark.a.02, dark.s.08, dark.s.06, dark.s.05, dark.n.05, dark.n.01"
"lēp-, lōp-, ləp-","flat.s.15, flat.s.14, flat.s.02, flat.s.01, flat.a.05, flat.s.12, flat.s.04, flat.s.11, flat.a.06, flat.s.10, flat.r.01, flat.n.06, flat.n.05, flat.n.02, flat.n.03, flat.n.01"
2. lā-,"latent.s.02, latent.s.01, covered.a.01"
3. sēk-,"quiet.a.06, quiet.s.03, quiet.a.02, quiet.a.01"
"2. aḱ-, oḱ-","acute.a.01, acute.s.06, sharp.a.09, sharp.a.08, acute.s.02, sharp.s.12, sharp.s.11, sharp.a.10, acute.s.03, sharp.s.05, acute.a.04, sharp.n.02, sharp.n.01"
*k̑leu̯H-{1},"clean.s.18, clean.s.17, clean.s.16, clean.a.01, clean.a.08, clean.a.07, clean.a.06, clean.s.15, clean.s.14, clean.s.13, clean.s.11, clean.s.10, clean.s.05, clean.s.04, clean.s.03, clean.s.02, clean.r.01, clean.v.02, clean.v.10, clean.v.08, clean.v.01, clean.v.07, clean.v.06, clean.v.05"
"1. peu-, peu̯ə- : pū̆-","clean.s.18, clean.s.17, clean.s.16, clean.a.01, clean.a.08, clean.a.07, clean.a.06, clean.s.15, clean.s.14, clean.s.13, clean.s.11, clean.s.10, clean.s.05, clean.s.04, clean.s.03, clean.s.02, clean.r.01, purge.n.03, purge.n.02, purge.n.01, purge.v.07, clean.v.02, clean.v.10, purify.v.01, purge.v.04, purify.v.02, purify.v.03, purge.v.02, clean.v.08, clean.v.01, clean.v.07, clean.v.06, purge.v.01, clean.v.05"
bʰā̆d-,"better.s.03, better.a.01, better.a.02, good.s.09, good.s.21, good.s.13, good.s.20, good.s.19, good.a.01, good.a.03, good.s.18, good.s.17, good.s.16, better.s.04, good.s.06, good.s.12, good.s.15, good.s.07, better.r.01, better.r.02, good.n.02, good.n.03, better.n.01, better.n.04, good.n.01, better.n.03, better.v.03, better.v.02, better.v.01"
"su-, sū-","well.s.03, good.s.09, good.s.21, good.s.13, good.s.20, good.s.19, good.a.01, good.a.03, good.s.18, good.s.17, good.s.16, good.s.06, good.s.12, good.s.15, good.s.07, well.a.01, well.r.01, well.r.13, well.r.03, well.r.02, well.r.06, well.r.05, well.r.12, well.r.11, well.r.07, well.r.10, well.r.09, well.r.08, well.r.04, well.n.01, well.n.05, well.n.04, well.n.02, good.n.02, good.n.03, good.n.01, well.n.03, well.v.01"
"1. dʰā̆bʰ-, nasalized dʰamb(ʰ)-","affected.a.01, affected.a.02"
"gʰeis-, and ǵʰeiz-d-","aghast.s.01, confused.a.05, confused.s.02, confused.s.03"
gʰou-ro-s,frightened.s.01
*bʰeru̯-{1},"seething.s.01, boiling.r.01, boiling.n.02, boiling.n.01"
2.*(s)per-{1},"fly.s.01, fly.n.04, fly.n.01, fly.n.03, fly.n.05, fly.v.07, fly.v.13, fly.v.04, fly.v.06, fly.v.09, fly.v.02, fly.v.12, fly.v.05, fly.v.01, fly.v.03, fly.v.08, fly.v.10"
"maḱo-, or moḱ-o-","fly.s.01, fly.n.04, fly.n.01, gnat.n.02, gnat.n.01, fly.n.03, fly.n.05, fly.v.07, fly.v.13, fly.v.04, fly.v.06, fly.v.09, fly.v.02, fly.v.12, fly.v.05, fly.v.01, fly.v.03, fly.v.08, fly.v.10"
"2. mū-, mus-","fly.s.01, fly.n.04, fly.n.01, mosquito.n.01, gnat.n.02, gnat.n.01, midge.n.01, fly.n.03, fly.n.05, fly.v.07, fly.v.13, fly.v.04, fly.v.06, fly.v.09, fly.v.02, fly.v.12, fly.v.05, fly.v.01, fly.v.03, fly.v.08, fly.v.10"
pleu-,"fly.s.01, fly.n.04, fly.n.01, fly.n.03, fly.n.05, fly.v.07, fly.v.13, fly.v.04, fly.v.06, fly.v.09, fly.v.02, fly.v.12, fly.v.05, swim.v.05, fly.v.01, fly.v.03, swim.v.01, fly.v.08, fly.v.10, swim.v.04, swim.v.03"
algʰ-,"cold.s.13, cold.s.12, cold.s.11, cold.s.10, cold.s.03, cold.a.01, cold.a.02, cold.s.09, cold.s.08, cold.s.07, cold.s.06, cold.s.05, cold.s.04, cold.n.03, frost.n.03, cold.n.01, algidity.n.01, frost.n.01, frost.v.04, frost.v.03, frost.v.02, frost.v.01"
"oug-, ou-?","cold.s.13, cold.s.12, cold.s.11, cold.s.10, cold.s.03, cold.a.01, cold.a.02, cold.s.09, cold.s.08, cold.s.07, cold.s.06, cold.s.05, cold.s.04, cold.n.03, cold.n.01"
"srīg-, srīgos-","cold.s.13, cold.s.12, cold.s.11, cold.s.10, cold.s.03, cold.a.01, cold.a.02, cold.s.09, cold.s.08, cold.s.07, cold.s.06, cold.s.05, cold.s.04, cold.n.03, frost.n.03, cold.n.01, frost.n.01, frost.v.04, frost.v.03, frost.v.02, frost.v.01"
*gʷi̯eh₃-{1},"live.a.02, live.s.09, live.s.08, live.s.07, live.a.01, live.s.05, live.s.04, live.r.01, live.v.02, live.v.07"
bʰoso-s,"bare.s.02, bare.s.01, bare.s.09, bare.s.08, bare.a.04, naked.s.05, naked.s.04, bare.s.07, bare.s.06, naked.s.02, naked.s.03, bare.s.05, bare.v.01"
"k<sub>e</sub>ləu̯o-, k<sub>e</sub>leu̯o-","bare.s.02, bald.s.02, bare.s.01, bare.s.09, bare.s.08, bare.a.04, bald.s.03, bald.s.01, bare.s.07, bare.s.06, bare.s.05, bald.v.01, bare.v.01"
"plēi-, pləi-, plī-","bare.s.02, bald.s.02, bare.s.01, bare.s.09, bare.s.08, bare.a.04, bald.s.03, naked.s.05, bald.s.01, naked.s.04, bare.s.07, bare.s.06, naked.s.02, naked.s.03, bare.s.05, bald.v.01, bare.v.01"
lēut- : lūt-,"angry.a.01, wrathful.s.01, angry.s.02, angry.s.03, raging.s.02"
kers-,"black.s.03, black.a.02, black.s.08, black.a.01, black.s.07, black.s.14, black.s.13, black.s.06, black.s.05, black.s.12, black.s.04, black.s.10, black.s.09, black.n.07, black.n.06, black.n.01, black.n.05, black.n.04"
n̥si-,"black.s.03, black.a.02, black.s.08, dirty.s.12, black.a.01, black.s.07, dirty.a.01, black.s.14, dirty.a.02, dirty.a.04, dirty.s.11, black.s.13, black.s.06, black.s.05, black.s.12, black.s.04, dirty.s.09, dirty.s.08, dirty.s.07, dirty.s.03, black.s.10, dirty.s.06, black.s.09, dirty.s.05, black.n.07, black.n.06, black.n.01, black.n.05, black.n.04, dirty.v.01"
su̯ordo-s,"black.s.03, black.a.02, black.s.08, black.a.01, black.s.07, black.s.14, black.s.13, black.s.06, black.s.05, black.s.12, black.s.04, black.s.10, black.s.09, black.n.07, black.n.06, black.n.01, black.n.05, black.n.04"
"(s)lī- : sləi-, or slōi-, slī-u̯o-","livid.s.03, livid.s.02"
3. an(ə)-,"animate.a.02, animate.a.01, respire.v.02, respire.v.01, animate.v.04"
ant-s,"anterior.s.02, anterior.a.01, front.a.01, front.n.04, brow.n.01, front.n.03, front.n.01, front.n.09, front.n.07, front.n.06, front.v.02, front.v.01"
"upér, upéri","above.s.01, above.r.01, above.r.02, over.r.03, over.r.01, over.r.02, over.r.04, above.n.01, over.n.01"
*leg̑-,"collect.s.01, collect.r.01, collect.n.01, collect.v.04, collect.v.02, collect.v.05"
*les-,"collect.s.01, collect.r.01, collect.n.01, collect.v.04, collect.v.02, collect.v.05"
2.*kʷei̯-,"collect.s.01, collect.r.01, collect.n.01, stack.n.01, collect.v.04, stack.v.03, stack.v.02, stack.v.01, collect.v.02, collect.v.05"
?*h₂g/g̑er-{1},"collect.s.01, collect.r.01, take.n.02, gather.n.02, gather.n.01, collect.n.01, take.v.24, take.v.29, take.v.06, take.v.19, gather.v.04, take.v.41, take.v.04, gather.v.08, gather.v.05, gather.v.07, gather.v.01, collect.v.04, beat_up.v.02, take.v.35, take.v.09, take.v.27, take.v.15, take.v.34, take.v.08, take.v.21, take.v.33, take.v.20, collect.v.02, take.v.02, collect.v.05, take.v.39"
?*kreh₂-{1},"collect.s.01, collect.r.01, collect.n.01, accumulate.v.02, collect.v.04, collect.v.02, collect.v.05"
?*renk-{1},"collect.s.01, collect.r.01, gather.n.02, gather.n.01, collect.n.01, gather.v.04, gather.v.08, gather.v.05, gather.v.07, gather.v.01, collect.v.04, beat_up.v.02, collect.v.02, collect.v.05"
"1. ger-, gere-","collect.s.01, collect.r.01, collect.n.01, collect.v.04, collect.v.02, collect.v.05"
leǵ-,"collect.s.01, collect.r.01, collect.n.01, collect.v.04, collect.v.02, collect.v.05"
les-,"collect.s.01, collect.r.01, collect.n.01, collect.v.04, collect.v.02, collect.v.05"
"dʰeu-b-, dʰeu-p-","deep.s.15, deep.s.07, deep.s.04, deep.a.03, deep.a.01, deep.s.12, deep.s.11, deep.s.05, deep.s.02, hollow.s.02, hollow.a.01, deep.s.08, deep.s.09, deep.r.03, deep.r.02, deep.n.03, hollow.n.02, hollow.n.01, deep.n.01, hollow.v.02"
2. nā-,ashamed.a.01
mad-,"glossy.s.03, glossy.s.01, well-fed.s.01, glossy.n.02"
"4. mē-, mō-","big.s.13, big.s.05, big.s.12, big.s.11, big.s.10, important.a.01, big.s.02, big.s.04, important.s.05, big.s.08, big.s.06, big.r.04, big.r.03, big.r.01"
meǵ(ʰ)- : m<sub>e</sub>ǵ(ʰ)-,"big.s.13, big.s.05, big.s.12, big.s.11, big.s.10, big.s.02, great.s.02, great.s.01, big.s.04, major.a.03, major.a.02, major.a.07, major.a.05, major.a.04, major.a.01, major.a.06, much.a.01, great.s.03, big.s.08, major.s.08, big.s.06, much.r.04, much.r.01, much.r.05, big.r.04, big.r.03, big.r.01, molto.r.01, major.n.04, great.n.01, major.n.01, major.n.03, much.n.01, major.v.01"
4. mel-,"big.s.13, big.s.05, strong.s.09, big.s.12, big.s.11, big.s.10, big.s.02, big.s.04, strong.s.02, big.s.08, strong.s.07, strong.a.01, big.s.06, big.r.04, big.r.03, big.r.01"
"tor-, toro-s","audible.a.01, distinct.s.04, distinct.a.02, loud.a.01, distinct.s.01, audible.n.01"
"tak-, takē(i)-","silent.s.05, silent.s.04, silent.s.03, silent.s.01"
taus-,"silent.s.05, silent.s.04, calm.a.02, calm.s.01, silent.s.03, still.s.06, still.a.04, peaceful.a.01, silent.s.01, still.a.05, still.r.01, still.r.04, still.n.03, still.n.01, still.v.04, calm.v.03, calm.v.01, still.v.03"
aisk-,"bright.s.10, bright.s.04, bright.a.01, bright.s.02, clear.a.01, clear.a.04, clear.s.02, clear.a.11, clear.s.17, clear.s.09, clear.s.08, clear.s.05, bright.s.06, bright.s.09, bright.s.03, clear.s.15, clear.s.14, clear.s.03, clear.s.13, bright.s.05, bright.s.08, shining.s.01, clear.s.06, clear.r.01, shining.n.01, clear.n.01, clear.v.24, clear.v.02, clear.v.23, clear.v.22, clear.v.21, clear.v.20, clear.v.10, clear.v.19, clear.v.17, clear.v.09, clear.v.08, clear.v.07, clear.v.12, clear.v.11"
"*gʷʰēi- : gʷʰəi-, gʷʰəi-d- : gʷʰīd-","bright.s.10, bright.s.04, bright.a.01, bright.s.02, bright.s.06, bright.s.09, bright.s.03, bright.s.05, bright.s.08, shining.s.01, shining.n.01"
(s)kāi-,"bright.s.10, bright.s.04, bright.a.01, bright.s.02, bright.s.06, bright.s.09, bright.s.03, bright.s.05, bright.s.08, shining.s.01, shining.n.01"
k<sub>e</sub>nəkó-,"golden.s.06, golden.s.05, honey-colored.s.01, golden.s.02"
"1. aig-, nasalized ing-","ill.s.05, ill.s.03, ill.s.02, ill.s.04, dispirited.s.01, ill.a.01, ill.r.01, ill.r.03, ill.r.02"
1. sneud(ʰ)-,sleepy.s.01
?*knei̯bʰ-{1},reflexive.s.02
u̯eǵ-,"fresh.s.12, fresh.s.11, fresh.a.01, caller.s.02, strong.s.09, fresh.a.05, fresh.a.06, strong.s.02, fresh.s.02, fresh.s.04, strong.s.07, strong.a.01, fresh.s.09, fresh.s.08, fresh.s.07"
1. gal-,"bald.s.02, bald.s.03, naked.s.05, bald.s.01, naked.s.04, naked.s.02, naked.s.03, bald.v.01"
"1. pū̆k-, peuk-",thick-haired.s.01
meng-,"beautiful.a.01, beautiful.s.02"
"agro-, egro-?","first.s.05, beginning.s.01, first.a.01, first.a.06, first.s.02, first.r.01, first.r.02, first.r.03, beginning.n.05, beginning.n.03, first.n.05, beginning.n.01, beginning.n.04, first.n.02, first.n.01, beginning.n.02"
bʰudʰ-m(e)n,"bottom.s.02, base.s.07, base.s.06, base.s.05, base.s.02, base.s.04, base.s.03, bottom.a.01, base.n.08, base.n.03, base.n.20, base.n.01, base.n.19, base.n.18, bottom.n.07, ground.n.10, ground.n.09, ground.n.08, base.n.14, bottom.n.01, base.n.05, bottom.n.02, ground.n.05, base.n.04, base.n.13, base.n.11, base.n.10, bottom.n.04, ground.v.04, bottom.v.02, ground.v.11, ground.v.09, ground.v.08, ground.v.07, ground.v.03, ground.v.02, ground.v.06, ground.v.05, bottom.v.01, base.v.02"
"1. ǵenu-, ǵneu-","joint.s.03, joint.a.01, joint.s.02, joint.n.06, joint.n.05, joint.n.02, knee.n.03, knee.n.01, joint.n.01, joint.v.04, joint.v.03, joint.v.02, joint.v.01"
"2. lek- : l<sub>e</sub>k-, and lēk- : lək-","joint.s.03, joint.a.01, joint.s.02, leg.n.08, wind.n.08, joint.n.06, joint.n.05, joint.n.02, leg.n.07, leg.n.03, leg.n.01, leg.n.02, joint.n.01, wind.n.04, leg.n.05, wind.n.02, wind.n.01, wind.v.05, wind.v.03, joint.v.04, joint.v.03, joint.v.02, joint.v.01, wind.v.02"
