root,meaning
*g(ʷ)eg̑ʰ-{1},wade in
*g(ʷ)eldʰ-{1},becoming greedy
*g(ʷ)eldʰ-{1},becoming hungry
*g(ʷ)erdʰ-,hear; sound
*g(ʷ)ʰrend-{1},"(zer)reiben"" [UNKNOWN]"
*g/g̑eh₂dʰ-{1},to be filled with joy
*g/g̑eh₂u̯-{1},to be happy
*g/g̑ei̯s-{1},to turn
*g/g̑ei̯s-{1},to pivot
*g/g̑el-{1},freeze
*g/g̑el-{1},be cold
*g/g̑leu̯bʰ-,to cut out
*g/g̑leu̯bʰ-,to split
*g/g̑ʰan-{1},yawn
*g/g̑ʰan-{1},gaping open
*gelH0-,Get power over
*gem-,press
*gem-,compress; grasp
*gerbʰ-,to scratch
*gerbʰ-,to carve
*geu̯h₂-{1},call
*glei̯H-{1},to spread; to stick
*gres-{1},eat
*gres-{1},devour
*gʰebʰ-{1},fassen
*gʰebʰ-{1},nehmen; geben
*gʰed-{1},to grasp/ to comprehend/ to understand
*gʰeh₁-,come
*gʰeh₁-,reach
*gʰerdʰ-{1},enclose
*gʰerdʰ-{1},gird
*gʰlendʰ-{1},look
*gʰlendʰ-{1},gaze; shine
*gʰrebh₂-{1},to seize
*gʰreh₁u̯-{1},fall
*gʰreh₁u̯-{1},rush
*gʰrei̯-,spread
*gʰrei̯-,apply ointment
*gʰrem-,roar
*gʰrem-,rage
*gʷeh₂-,to set foot
*gʷeh₂-,to step on
*gʷeh₂bʰ-{1},depress
*gʷeh₂dʰ-{1},dive in
*gʷei̯-{1},(be)siegen
*gʷei̯-{1},gewinnen
*gʷelh₁-{1},meeting
*gʷelh₁-{1},throwing
*gʷem-,(wohin) gehen
*gʷem-,kommen
*gʷerH-{1},Express agreement.
*gʷerh₃-,to devour
*gʷg̑ʰer-{1},im Wasser dahintreiben
*gʷg̑ʰer-{1},fließen’{1a}
*gʷi̯eh₃-{1},live
*gʷʰedʰ-,ask
*gʷʰedʰ-,wish
*gʷʰen-,to hit
*gʷʰer-,to warm up
*gʷʰreh₁-{1},to smell something
*g̑ar-{1},sound
*g̑ar-{1},call
*g̑ei̯H-{1},sprout
*g̑ei̯H-{1},germinate
*g̑elh₂-{1},to burst out laughing
*g̑embʰ-,snap
*g̑embʰ-,(dis)bite
*g̑enh₁-{1},generate
*g̑erh₂-,wear out
*g̑erh₂-,make old
*g̑eu̯s-,cost
*g̑i̯eu̯H-{1},to chew
*g̑neh₃-,recognize
*g̑u̯elH-{1},burn
*g̑u̯elH-{1},flame
*g̑ʰed-{1},"scheißen"" [UNKNOWN]"
*g̑ʰeh₁-{1},leave behind
*g̑ʰeh₁i̯-{1},open one's mouth wide
*g̑ʰeh₁i̯-{1},yawn
*g̑ʰei̯s-{1},to frighten/startle
*g̑ʰei̯sd-{1},to frighten sb.
*g̑ʰengʰ-{1},to stride
*g̑ʰers-{1},to resist
*g̑ʰers-{1},to stiffen
*g̑ʰeu̯-,pour
*g̑ʰu̯eH-{1},call
*g̑ʰu̯en-{1},sound
*g̑ʰu̯er-{1},walk crooked
*h₁ed-,(bite →) eat
*h₁egʷʰ-{1},drink
*h₁eh₁s0-,to sit
*h₁ei̯-,go
*h₁ei̯sh₂-{1},strengthen; drive
*h₁em-,take
*h₁ep-{0},grasp
*h₁ep-{0},seize
*h₁er-{1},where to get
*h₁er-{1},to end up
*h₁erH-{1},wash
*h₁erg̑ʰ-{1},climb
*h₁erkʷ-{1},shine
*h₁erkʷ-{1},sing
*h₁ers-,flow
*h₁eu̯-{1},see
*h₁eu̯-{1},catch sight of
*h₁eu̯H-{1},help
*h₁eu̯H-{1},promote
*h₁eu̯k-,to get used to
*h₁eu̯k-,to learn
*h₁eu̯s-,burn
*h₁eu̯s-,singe
*h₁ger-{1},wake up
*h₁lei̯g̑-,to start trembling/quivering
*h₁leng/g̑ʰ-,finally assure
*h₁lengʷʰ-{1},move effortlessly
*h₁leu̯dʰ-{1},rise
*h₁leu̯dʰ-{1},grow
*h₁nedʰ-{1},to emerge
*h₁nek̑-,receive
*h₁nek̑-,take
*h₁rei̯-{1},to rise up
*h₁rem-{1},calm down
*h₁u̯egʷʰ-,speak solemnly
*h₁u̯eh₂-{0},leave
*h₁u̯eh₂-{0},give up; stop
*h₁u̯eh₂-{0},cease
*h₂ed-,to dry up
*h₂edʰg/g̑ʰ-{1},press
*h₂egʰ-{1},to be scared
*h₂egʰ-{1},to be saddened
*h₂eh₁-{1},to be hot
*h₂eh₁s-{1},(dry up) due to heat.
*h₂ei̯d-{1},to swell
*h₂ei̯dʰ-{1},ignite
*h₂ei̯k̑-{1},impale
*h₂ei̯s-,search
*h₂ei̯sd-{1},to adore; to worship
*h₂ek̑-,to be/become/make sharp
*h₂ek̑h₃-{1},(to) eat up
*h₂el-{1},nourish
*h₂el-{1},raise
*h₂eldʰ-{1},achieve happily
*h₂elgʷʰ-{1},bring in (as revenue)
*h₂elh₂-,aimless walking
*h₂elk-{1},repel
*h₂emH-{1},to pour
*h₂emH-{1},to water
*h₂emg̑ʰ-{1},(zu)schnüren’ → ‘beengen
*h₂emh₃-{1},anfassen
*h₂emh₃-{1},anpacken’ → ‘schwören
*h₂en-{1},to scoop/draw
*h₂engʷ-{0},spread
*h₂engʷ-{0},apply ointment
*h₂enh₁-{1},breathe
*h₂enk-,to bend
*h₂ens-{1},procreate
*h₂ens-{1},give birth
*h₂ep-,fit
*h₂ep-,adapt
*h₂erH-{1},dissolve
*h₂erH-{1},disappear
*h₂erh₃-{1},break up
*h₂erh₃-{1},plow
*h₂erk/k̑-,hold
*h₂es-{1},to be satisfied
*h₂eu̯-{1},enjoy
*h₂eu̯H-{1},(put on) footwear
*h₂eu̯g-,become strong
*h₂eu̯s-,to scoop/draw
*h₂leg/g̑-,take care of
*h₂leh₁-{1},crushed
*h₂lei̯H-{1},smear
*h₂leks-{1},defend
*h₂leks-{1},protect
*h₂leu̯-,keep away
*h₂meh₁-,mow
*h₂mei̯gʷ-{1},change
*h₂melg̑-,milk
*h₂merd-,do harm
*h₂merd-,mistreat
*h₂merg̑-{0},to strip off
*h₂merg̑-{0},to wipe (away)
*h₂neh₃-{1},criticize
*h₂nek̑-{1},reach
*h₂reh₁g/g̑-{1},be concerned about
*h₂reh₁g/g̑-{1},help
*h₂res-{1},to refuse oneself
*h₂seu̯s-{1},to become dry
*h₂teu̯g/g̑-{1},Spread terror
*h₂u̯edH-{1},to sound
*h₂u̯edH-{1},to speak
*h₂u̯eg-,sting
*h₂u̯eg-,stab
*h₂u̯eg-,poke
*h₂u̯eg/g̑ʰ-{1},speak meaningfully
*h₂u̯eh₁-,blow; wave; labor pains
*h₂u̯ei̯-,run/walk
*h₂u̯eks-{1},(grow up) to grow
*h₂u̯eks-{1},to become big
*h₂u̯elk-{1},to drag
*h₂u̯elk-{1},to pull
*h₂u̯er-,to hang (intransitive)
*h₂u̯erg-{1},to turn around
*h₂u̯erg-{1},to turn
*h₂u̯ers-{1},rain
*h₂u̯ert-{1},swear
*h₂u̯i̯edʰ-{1},hurtful
*h₂u̯i̯edʰ-{1},deadly strike
*h₃ekʷ-,consider
*h₃ekʷ-,catch sight of
*h₃elh₁-,to perish
*h₃er-{1},to set in motion (forward)
*h₃erg-{1},to perish
*h₃mei̯g̑ʰ-,"harnen"" [UNKNOWN]"
*h₃neh₂-,enjoy
*h₃nei̯d-,to disparage
*h₃reg̑-{1},straighten
*h₃reg̑-{1},stretch
*h₃rei̯H-{1},wallen
*h₃rei̯H-{1},wirbeln’{1a} [UNKNOWN]
*h₃reu̯H-{1},to roar
*h₃reu̯k-,(aus)graben
*h₃reu̯k-,(aus)rupfen
*h₃slei̯dʰ-{1},slip
*h₃slei̯dʰ-{1},go wrong
*h₃u̯ath₂-{1},wound
*i̯ebʰ-{0},eingehen
*i̯ebʰ-{0},eindringen [UNKNOWN]
*i̯eh₃s-,gürten [UNKNOWN]
*i̯ek-{1},speak
*i̯es-,boil
*i̯es-,foam
*i̯et-,to stand (firmly)
*i̯eu̯g-,to harness
*i̯eu̯g̑H-{1},become restless
*k(ʷ)erk̑-,to thin down/lose weight
*k(ʷ)leh₂-{1},spread out
*k(ʷ)leh₂-{1},lay down
*k(ʷ)lei̯k̑-{1},torment
*k(ʷ)lei̯k̑-{1},plague
*k(ʷ)seu̯d-,scatter
*k(ʷ)seu̯d-,fall into small pieces
*k/k̑agʰ-{1},(to) comprehend; (to) grasp; (to) enclose; (to) frame
*k/k̑an-{1},sing
*k/k̑an-{1},sound
*k/k̑elh₁-{1},tempt
*k/k̑elh₁-{1},enchant
*k/k̑elh₁-{1},deceive
*k/k̑u̯as-{1},kiss
*kamp-{1},bend
*kamp-{1},curve
*keh₂p-{1},grasp
*keh₂p-{1},snap
*kel-{1},drive
*kelH-{1},to protrude
*kelH-{1},to tower above
*kelh₂-,to hit
*kem-{1},press
*kem-{1},squeeze (?)
*ken-{1},arise
*ken-{1},start
*kenh₁-{1},to make an effort
*kenh₁-{1},to exert oneself
*kes-,to organize
*keu̯bʰ-{1},to bow
*keu̯bʰ-{1},to cower
*keu̯dʰ-{1},hide
*keu̯p-{1},(innerlich) beben
*kleh₁-{1},call
*klep-{1},(secretly) steal
*klep-{1},hide
*kleu̯b-{1},stumble
*kleu̯b-{1},hop
*kneh₂-{1},scrape
*kneh₂-{1},rub
*knei̯d-{1},scratching
*knei̯d-{1},pushing (?)
*kreh₁(i̯)-{1},seven
*kreh₁(i̯)-{1},separate
*krek̑-,to hit
*kret-,shake
*kret-,jostle
*kreu̯H-{1},pile up
*kreu̯H-{1},cover
*kreu̯s-,to push / to collide
*ksen-{1},Roll up wool
*kseu̯-{1},scraping
*kseu̯-{1},grinding
*ksneu̯-{1},sharpen
*ku̯ath₂-,Blow bubbles
*ku̯ath₂-,foam
*ku̯eh₁p-{1},boiling
*ku̯elp-,to bend
*ku̯elp-,to curve
*ku̯elp-,to arch
*kʷeh₂s-{1},cough
*kʷei̯s-{1},pay attention to something
*kʷei̯s-{1},perceive
*kʷei̯t-{1},notice
*kʷei̯t-{1},recognize
*kʷek̑-{1},see
*kʷek̑-{1},catch sight of
*kʷelh₁-{1},make a turn
*kʷelh₁-{1},turn around
*kʷelh₁-{1},(re-
*kʷelh₁-{1},de-)turn
*kʷels-,draw furrows
*kʷels-,plow
*kʷem-,(swallow) down
*kʷem-,suck in
*kʷendʰ-{1},receive an impression
*kʷendʰ-{1},experience
*kʷendʰ-{1},suffer
*kʷer-,(ab)schneiden
*kʷer-,"schnitzen"" [UNKNOWN]"
*kʷerpH-{1},turn
*kʷerpH-{1},turn oneself
*kʷi̯eh₁-,to rest
*kʷi̯eu̯-{1},set in motion
*kʷrei̯h₂-,exchange
*kʷrei̯h₂-,acquire through trade
*k̑ad-{1},fallen [UNKNOWN]
*k̑eHs-{1},to direct
*k̑eHs-{1},to instruct
*k̑eNs-{1},announce; estimate (publicly)
*k̑eh₂d-{1},to be mentally upset
*k̑eh₂k-{1},jump
*k̑eh₃(i̯)-{1},sharpen
*k̑ei̯d-{1},call
*k̑ek(ʷ)-{1},achieve something
*k̑ek(ʷ)-{1},overcome
*k̑elH-{1},getting cold
*k̑elH-{1},freezing
*k̑emh₂-,become tired; toil
*k̑en-{1},rise
*k̑enk-{1},to be in suspense
*k̑enk-{1},to hang (intr.)
*k̑ent-{1},sting
*k̑ent-{1},stab
*k̑ent-{1},poke
*k̑ep-{1},(to) curse
*k̑ep-{1},(to) swear
*k̑er(H)-{1},"scheißen"" [UNKNOWN]"
*k̑erh₃-,satisfy
*k̑erh₃-,feed
*k̑es-{1},(to) cut (off)
*k̑lei̯-,to lean on
*k̑leu̯-,hear
*k̑leu̯H-{1},clean
*k̑leu̯s-{1},(to) listen
*k̑rei̯H-,to stand out
*k̑rei̯H-,to be excellent
*k̑remh₂-{1},become limp
*k̑reth₂-,to loosen
*k̑u̯eh₁-{1},to swell
*k̑u̯ei̯t-,shine brightly
*k̑u̯enk-{1},bend up or down
*k̑u̯es-{1},schnaufen
*k̑u̯es-{1},schnauben
*k̑u̯es-{1},seufzen
*legʰ-,to lie down
*leg̑-,collect
*leg̑-,pick up
*leh₁-{1},"decrease,allow"
*leh₁d-{1},let
*leh₁d-{1},allow
*leh₁d-{1},leave
*leh₁g̑ʰ-{1},crawl
*leh₂p-,flash
*lei̯d-,(let) go
*lei̯g/g̑-{1},jump
*lei̯g̑-{1},to bind
*lei̯g̑ʰ-,lecken
*lei̯h₂-,cease
*lei̯h₂-,dwindle
*lei̯kʷ-,leave behind
*lei̯kʷ-,move away from
*lei̯s-,learn
*lei̯s-,experience
*lemH-{1},break
*lembH-{1},hanging limp
*lembʰ-{1},grasp
*lembʰ-{1},seize
*lendʰ-{1},to sink
*lendʰ-{1},to descend downwards
*lep-{1},to peel
*les-,collect
*les-,pick up
*leu̯-{1},dirty
*leu̯H-{1},cut off
*leu̯H-{1},solve
*leu̯bʰ-,be kind
*leu̯bʰ-,please; enchant
*leu̯bʰ-,confuse
*leu̯dʰ-{1},hinder
*leu̯dʰ-{1},impede
*leu̯h₃-{1},wash
*leu̯k-,to become bright
*mad-{1},to be/become wet
*magʰ-{1},can
*magʰ-{1},be able to
*mag̑-{1},paint
*mag̑-{1},smear
*masd-{1},to be/become fat
*meh₁-{1},"(ab)messen"" [UNKNOWN]"
*meh₂-,give signs
*meh₃-{1},to cause trouble
*meh₃-{1},to be a burden
*mei̯g(ʷ)ʰ-,blink
*mei̯g(ʷ)ʰ-,twitch
*mei̯k̑-{1},mix
*mei̯th₂-,change
*mei̯th₂-,exchange
*mei̯th₂-,remove
*meld-{1},become soft
*melh₂-{1},grind
*melh₂-{1},mill
*melh₃-,to emerge
*melkʷ-{1},impede
*melkʷ-{1},damage
*melkʷ-{1},destroy
*menH-,treten
*menH-,stampfen' (?) [UNKNOWN]
*menk-{1},press
*menk-{1},knead
*menth₂-,whisk
*menth₂-,stir
*mer-,disappear
*mer-,die
*merh₂-,forcibly grab
*merh₂-,crush
*mers-{1},forgotten
*mes-{1},stretch out the arm
*mesg-{1},immerse (intr.)
*mesg-{1},sink
*meth₂-{1},tear off
*meu̯d-{1},to be filled with joy
*meu̯k-,untie
*meu̯k-,strip off
*meu̯sH-,pick up
*meu̯sH-,take away
*mi̯eu̯h₁-{1},move (oneself)
*mleu̯h₂-{1},speak
*mneh₂-{1},think of
*negʷ-{1},get dark
*negʷ-{1},dawn
*neh₂-{1},getting into fear
*nei̯H-{1},lead
*nei̯H-{1},guide
*nei̯gʷ-,wash
*nei̯k-{1},to rise up
*nek̑-,disappear
*nek̑-,get lost
*nes-,come away from it
*nes-,return unharmed
*neu̯-,nod
*neu̯-,tilt (the head)
*neu̯H-{1},shout
*neu̯H-{1},yell
*peH-{1},to move
*ped-,treten; fall
*ped-,sink
*peh₁i̯-{1},to blame
*peh₁i̯-{1},to revile
*peh₂(i̯)-{1},protect
*peh₂(i̯)-{1},guard
*peh₂(i̯)-{1},graze (transitive)
*peh₂g̑-{1},become firm
*peh₂k̑-,to moor
*peh₂k̑-,to tie up
*peh₃(i̯)-{0},drink
*pei̯k̑-{1},chop out
*pei̯k̑-{1},cut out
*pei̯s-,to crush
*pei̯s-,to push (away)
*pelh₁-{1},bring into motion/bring into momentum
*pelh₂-,Approach [UNKNOWN]
*pen-{1},feed
*pen-{1},nourish
*pent-{1},(find a way) find
*perd-,(loudly) fart
*perh₂-,sell
*perh₃-,obtain/provide/gain
*perk-{1},an-
*perk-{1},refill
*perk̑-{1},dig
*perk̑-{1},tear open
*pesd-{1},(quietly) fart
*pesd-{1},fist
*peth₁-{1},fallen [UNKNOWN]
*peu̯g/g̑-{1},sting
*peu̯g/g̑-{1},stab
*peu̯g/g̑-{1},poke
*pi̯eh₂-{1},to hit
*pleh₁-{1},to fill up
*pleh₁-{1},to become full
*pleh₁k̑-{1},tear off
*pleh₂g-{1},to hit
*pleh₃-{1},swim
*pleh₃-{1},flow
*plek̑-{1},braid
*pleth₂-{1},to become wide
*pleth₂-{1},to spread
*pleu̯-{0},swim
*pleu̯-{0},float
*pneu̯H-{1},to become conscious
*preK-{1},to be afraid
*preh₁-,to blow
*preh₁-,to kindle
*prei̯H-{1},'familiar
*prei̯H-{1},to be/become dear'
*prek̑-{1},ask
*prep-{1},to catch the eye
*prep-{1},to appear
*pres-{1},to inject
*preu̯-{1},jump
*preu̯s-,spray
*preu̯s-,squirt
*pster-{1},sneeze
*pteh₂k-{1},to crouch down
*regʰ-{1},to straighten up
*reh₁dʰ-{1},successfully carry out
*rei̯dʰ-,move in a swaying motion
*rei̯g/g̑-{1},to bind
*rei̯g̑-{1},(to) stretch
*rei̯g̑-{1},extend
*rei̯k(ʷ)h₂-{1},to scratch
*rei̯k(ʷ)h₂-{1},to scrape
*rek-{1},arrange
*rek-{1},define
*rek-{1},determine
*resg-{1},braid
*ret-{1},run/walk
*reu̯H-{1},to tear open
*reu̯dH-{1},scream
*reu̯dH-{1},cry
*reu̯h₁-{1},open
*reu̯p-,break
*reu̯p-,tear (intransitive)
*reu̯s-{1},to rummage
*seHdʰ-{1},to reach the goal
*seHdʰ-{1},to succeed
*sed-,to sit down
*seg̑ʰ-,overpower
*seg̑ʰ-,get control of
*seh₁-,‘press
*seh₁-,insert’ → ‘sow’
*seh₁p-{1},perceive (through taste)
*seh₂g/g̑-,to follow a trail
*sei̯b-,let flow; let run
*sei̯k-,reach
*sei̯kʷ-,pour out
*sek-,dry up
*sek-,become dried up (intransitive)
*sekH-{1},abtrennen’: 1. ‘cut’
*sekH-{1},2. ‘distinguish
*selg̑-{1},let go
*selg̑-{1},dispatch
*selh₁-{1},take
*selh₂-,become gracious
*selk-{0},to pull/draw/move
*semH-{1},to scoop/draw
*sengʷ-,fall down
*sengʷ-,go under
*sengʷ-,sink
*sengʷʰ-{1},sing
*sengʷʰ-{1},proclaim
*senh₂-,to achieve
*senh₂-,to catch
*sent-,‘gehen’ → ‘wahrnehmen’ (?) [UNKNOWN]
*sep-,treat
*sep-,respect
*serh₃-,(to go against) with hostile intent
*serk/k̑-,repair
*serk/k̑-,make up for
*serp-,crawl
*serp-,sneak
*ses-,rest
*ses-,sleep
*seu̯h₁-{1},drive
*seu̯h₁-{1},keep in motion
*seu̯k̑-{1},to suck
*seu̯p-{1},to throw
*sh₂ei̯-{1},bind
*sh₂ei̯-{1},tie
*sh₂eu̯-{1},pour
*sh₂eu̯-{1},rain
*si̯eu̯H-{1},sew
*sk/k̑eh₁tʰ-{1},damage
*skabʰ-{1},scratch
*skabʰ-{1},scrape
*skek-{1},move quickly
*skek-{1},jump
*skelH-{1},slit
*skelH-{1},split
*skeu̯h₂-{1},poking
*skeu̯h₂-{1},pushing
*sk̑eH(i̯)-{1},shimmer
*sk̑eH(i̯)-{1},shine
*sk̑ʰeh₂(i̯)-{1},to cut open
*sk̑ʰeh₂(i̯)-{1},to skin
*sk̑ʰei̯d-{1},split
*sk̑ʰei̯d-{1},separate
*sk̑ʰei̯d-{1},tear
*sleg/g̑-{1},slacken
*sleh₁g/g̑-{1},come to an end
*sleh₂gʷ-{1},take
*sleh₂gʷ-{1},seize
*slei̯g̑-,smear
*slei̯g̑-,smooth out
*slenkʷ-{1},glide
*sleu̯bʰ-{1},glide
*sleu̯bʰ-{1},slip
*sleu̯k-{1},swallow
*smei̯-{1},laugh
*smei̯-{1},smile
*smerd-{1},(bad) smell
*sneh₁-,to spin
*snei̯gʷʰ-,stick
*snei̯gʷʰ-,remain stuck
*snerk-{1},contract
*snerk-{1},loop
*sneu̯-{1},(liquid) to well up
*sneu̯-{1},to drip
*sneu̯H-{1},turn
*sneu̯H-{1},twist
*sneu̯bʰ-{1},marry (by the woman)
*spek̑-,look
*spek̑-,watch
*spek̑-,spy
*sperdʰ-{1},to run away
*sperg̑ʰ-,hurry up
*speu̯d-,hurry up
*spti̯eu̯H-{1},spitting
*spti̯eu̯H-{1},to spit
*spʰeh₁-{1},goals correspondingly achieved
*spʰeh₁-{1},succeed
*spʰerH-{1},(with the foot) to push
*spʰerh₂g-{1},hiss
*spʰerh₂g-{1},crackle
*srebʰ-,to slurp
*sreu̯-,flow
*sreu̯-,stream
*stebʰ-{1},to solidify
*steh₂-{1},where to step
*steh₂-{1},to position oneself
*stei̯gʰ-,climb
*stei̯gʰ-,stride
*stel-{1},set up
*stel-{1},prepare
*stembʰH-{1},to support oneself
*stembʰH-{1},to brace oneself
*sten-{1},groan
*stengʷ-,to push / to collide
*ster-{1},niederstrecken’{1a} [UNKNOWN]
*sterg-,to worry about
*sterh₃-,to spread out
*sterh₃-,to expand
