root,meaning,derivative,derivative meaning,language,form,dictionary
*bʰreh₁g̑-{1},"scintillate, sparkle",ved. ábhrāṭ ‘ist erstrahlt’{1a},NYI,NYI,NYI,liv
*bʰrei̯H-,to cut,"ved. bhriṇánti RV 2,28,7 ‘sie verletzen’{1}",NYI,NYI,NYI,liv
*bʰrekʷ-,crowd together,"[lat. frequēns ‘gedrängt, häufig’{1}",NYI,NYI,NYI,liv
*bʰrem-{1},"hum, roar","parth. brm-, mp. blm- ‘heulen, weinen’{2}",NYI,NYI,NYI,liv
*bʰremH-{1},to be restless,"ved. (BĀU) bhrámasi ‘flackerst, loderst’{3}",NYI,NYI,NYI,liv
*bʰreu̯s-{1},to break,"air. bruïd ‘zerbricht, zerschmettert’{2}",NYI,NYI,NYI,liv
*bʰu̯eh₂-{1},"grow, arise, become",[ved. ábhūt ‘ist geworden’,NYI,NYI,NYI,liv
*deh₂-{0},share,"ved. (YV) diṣva ‘teile zu!’, (MS) áva adāt ‘hat abgetrennt’{2}",NYI,NYI,NYI,liv
*deh₂p-{1},partition,"gr. δάπτω ‘zerfleische, verzehre’{2}",NYI,NYI,NYI,liv
*deh₂u̯-{1},caught on fire,"[ved. (AV) dunóti ‘zündet an, verbrennt’{4}",NYI,NYI,NYI,liv
*deh₃-,give,"[heth. dāi, danzi ‘nimmt, nehmen’{1}",NYI,NYI,NYI,liv
*dei̯h₁-{1},chase there,"gr. δίενται ‘jagen dahin, eilen’, δίεσθαι ‘verjagen, verfolgen’{3}",NYI,NYI,NYI,liv
*dei̯h₂-{1},flash,"[gr. ark. δεα[ση]τοι IG V 2, 343 ‘sollte scheinen’{2}",NYI,NYI,NYI,liv
*dek̑-,"(an-, auf-)nehmen, wahrnehmen",arm. etes ‘sah’{1},NYI,NYI,NYI,liv
*dek̑s-{1},"to be capable, to be competent","ved. Ipv. dákṣatā ‘macht es recht!’, Med. dákṣate ‘ist tauglich, ist brauchbar’{2}",NYI,NYI,NYI,liv
*delgʰ-{1},"to split, to hew",[air. as:dloing ‘spaltet’{2},NYI,NYI,NYI,liv
*delg̑ʰ-{1},become firm,"?aav. dōrəšt Y. 49,2 ‘befestigt’{2}",NYI,NYI,NYI,liv
*delh₁-{1},"hew, split","lit. žemait. delù, (dìlti) ‘sich abnutzen, schwinden’, lett. dȩlu, dil̂t ‘abnehmen, sich verschleißen’{3}",NYI,NYI,NYI,liv
*denk̑-{1},to bite,[ved. Präs. dáśati ‘beißt’{2},NYI,NYI,NYI,liv
*dens-,"become proficient, become skillful","aav. Inj. Akt. didąs ‘lehrt’{3}, 1s Med. dīdaiŋ́hē ‘erfahre, lerne kennen’",NYI,NYI,NYI,liv
*der-{1},"tear (intrans.), shatter.",ved. dárt ‘zerstiebt; zerspaltet’{3},NYI,NYI,NYI,liv
*derk̑-,"hinblicken, erblicken [UNKNOWN]",ved. dárśam ‘sehe’{2},NYI,NYI,NYI,liv
*des-{1},"find, encounter",alb. n-dieh ‘sich befinden’{2},NYI,NYI,NYI,liv
*deu̯h₂-{1},join together,"toch.B tsuwa ‘fügte sich’{2}, A tswānt ‘fügten sich’",NYI,NYI,NYI,liv
*deu̯k-{0},to pull/draw/move,[oss. (+) duc-/doc- ‘melken’{1},NYI,NYI,NYI,liv
*dregʰ-{1},to hold on/to grasp/to capture,[jav. dražaite ‘hält’{2},NYI,NYI,NYI,liv
*drep-,"cut off, tear off",[gr. δραπών Pi. ‘gepflückt habend’{2},NYI,NYI,NYI,liv
*dreu̯-{1},run/walk,ved. drávati ‘läuft’{2},NYI,NYI,NYI,liv
*du̯eH-{1},(ein)tauchen' (intr.),?[arm. enerk ‘tauchte etw. ein’{2},NYI,NYI,NYI,liv
*du̯ei̯-{1},"to become frightened, to be scared",[arm. erkeaw ‘fürchtete sich’{2},NYI,NYI,NYI,liv
*dʰalh₁-{1},"to well up, to sprout","[gr. ἔθαλον ‘quoll, strotzte’",NYI,NYI,NYI,liv
*dʰeHbʰ-{1},fit; match; suit,"got. ga-dob ‘ist passend, angemessen’",NYI,NYI,NYI,liv
*dʰebʰ-{1},reduce,"ved. Inj. ā-dabhúr ‘tun etwas an’,## Konj. dabhat ‘wird Schaden zufügen’{2}",NYI,NYI,NYI,liv
*dʰegʷʰ-,"treat with fire, burn (transitive)",ved. dáhati ‘verbrennt (tr.)’,NYI,NYI,NYI,liv
*dʰegʷʰh₂-{1},"come close: almost reach, pass by",[ved. mā́ dhak ‘soll nicht verfehlen’{3},NYI,NYI,NYI,liv
*dʰeh₁-,suck (breast milk),"[kluw. Ptz. titaimi- ‘genährt’, lyk. tideimi ‘Kind’{1}",NYI,NYI,NYI,liv
*dʰeh₁-{0},"place, lay, set; produce, make","heth. tēmi, tēzzi ‘sprechen, festsetzen’{2}, pēhu-temi ‘schaffe hin’ u.a.2a; lyk. 3s tadi ‘setzt’, 3p tãti ‘setzen’",NYI,NYI,NYI,liv
*dʰei̯H-{1},consider,khot. daiyä ‘sieht’{2a},NYI,NYI,NYI,liv
*dʰei̯Hgʷ-{1},"insert, stab","[alat. fiuō, -ere, lat. figere ‘anheften, hineinstecken, durchbohren’{2}",NYI,NYI,NYI,liv
*dʰei̯g̑ʰ-,"brush, knead","ved. Konj. pári … dāhat ‘wird überziehen’, (TS) úd dihanti ‘schichten auf’",NYI,NYI,NYI,liv
*dʰelbʰ-,"dig, hollow out","?[toch.B 3p tsälpāre, A 3s tsälp ‘wurde(n) erlöst’{0}",NYI,NYI,NYI,liv
*dʰenh₂-,"to get going, to make a run for it",[gr. ἔθανον ‘starb’{1},NYI,NYI,NYI,liv
*dʰer-,"secure, fix","ved. 2s Inj. Med. mā́ dhr̥thās AV 3,25,1 ‘halte dich nicht fest!’",NYI,NYI,NYI,liv
*dʰerg̑ʰ-,(to) turn (oneself),"arm. Med. darjaw ‘wandte sich um, kehrte zurück’",NYI,NYI,NYI,liv
*dʰerh₃-,"jump, mount",[gr. ἔθορον ‘sprang’{1},NYI,NYI,NYI,liv
*dʰers-,Gather courage,"ved. Ptz. dhr̥ṣánt-, fem. dhr̥ṣatī́- ‘mutig’{1}",NYI,NYI,NYI,liv
*dʰeu̯-,"run, hurry","[ved. dhā́vati ‘läuft, eilt’{1}, dhávate ‘läuft (dahin)’",NYI,NYI,NYI,liv
*dʰeu̯H-,"quickly move back and forth, shake","[ved. dhā́vati ‘reibt, spült ab’{1}",NYI,NYI,NYI,liv
*dʰeu̯gʰ-,meet/encounter,[gr. ἔτυχον ‘traf’{1a},NYI,NYI,NYI,liv
*dʰgʷʰei̯-{1},"(disappear or perish) due to heat, to go under","ved. Ipv. kṣidhī́ SV 1,336 ‘vernichte!’{3}",NYI,NYI,NYI,liv
*dʰmeH-{1},blow,[ved. dhámati ‘bläst’{2},NYI,NYI,NYI,liv
*dʰrebʰ-,"to separate, to settle, to curdle",[gr. ἔτραφον ‘wuchs auf’{2},NYI,NYI,NYI,liv
*dʰregʰ/g̑ʰ-{0},"to drag, to pull","[gr. τρέχω, Pi. τράχω ‘laufe’{1}",NYI,NYI,NYI,liv
*dʰreh₂gʰ-,"to be agitated, to be stirred up","gr. θρᾱ́σσω, ταράσσω ‘verwirre’{1}",NYI,NYI,NYI,liv
*dʰreu̯bʰ-{1},"break, crumble","gr. θρύπτω ‘zerbreche, zerbröckle (tr.)’",NYI,NYI,NYI,liv
*dʰu̯eh₂-{1},to make smoke,[gr. θύω ‘opfere (durch Verbrennen)’{3},NYI,NYI,NYI,liv
*dʰu̯en-,sound,ved. (KS) adhvanat ‘tönte’{1},NYI,NYI,NYI,liv
*dʰu̯enH-{1},smoking,ved. ádhvanit ‘qualmte’{2},NYI,NYI,NYI,liv
*dʰu̯ens-{1},"dissipate, crumble","ved. 3p Inj. ati-dhvasán RV 8,55,5 ‘hüllen (die Wege) in Staub’{2}",NYI,NYI,NYI,liv
*dʰu̯es-{1},"(inhale, exhale) breathe","[aksl. iz-dъše ‘hauchte aus, gab den Geist auf’",NYI,NYI,NYI,liv
*geH-{1},sing,ved. gā́yati ‘singt’,NYI,NYI,NYI,liv
*geg̑ʰ-{1},"(into the water) penetrate, wade in","[ved. gāhate ‘dringt ein, steigt ins Wasser’{2}",NYI,NYI,NYI,liv
*geldʰ-{1},"becoming greedy, becoming hungry",[ved. ágr̥dhat ‘ist gierig geworden’,NYI,NYI,NYI,liv
*gerdʰ-,hear; sound,"arm. kardam ‘rufe, nenne’{2}",NYI,NYI,NYI,liv
*gʰrend-{1},"(zer)reiben"" [UNKNOWN]","lat. frendō, -ere ‘Zähne knirschen, zermalmen’",NYI,NYI,NYI,liv
*g/g̑eh₂dʰ-{1},to be filled with joy,"toch.B kāccäṃ ‘freut sich’, A kāckäc ‘ihr freut euch’{3}",NYI,NYI,NYI,liv
*g/g̑eh₂u̯-{1},to be happy,gr. γάνυται ‘ergötzt sich’{2},NYI,NYI,NYI,liv
*g/g̑ei̯s-{1},"to turn, to pivot","heth. kisa ‘wird, geschieht’{2}",NYI,NYI,NYI,liv
*g/g̑el-{1},"freeze, be cold","[an. (+) kala ‘kalt werden, frieren’{2}",NYI,NYI,NYI,liv
*g/g̑leu̯bʰ-,"to cut out, to split","[gr. ion. att. γλύφω ‘schneide aus, graviere’",NYI,NYI,NYI,liv
*g/g̑ʰan-{1},"yawn, gaping open","[gr. ἔχανον ‘gähnte, öffnete den Mund’",NYI,NYI,NYI,liv
*gelH0-,Get power over,"arm. kalaw ‘ergriff, fing’{1}",NYI,NYI,NYI,liv
*gem-,"press, compress; grasp","?[gr. hom. γέντο ‘faßte, griff’{2}",NYI,NYI,NYI,liv
*gerbʰ-,"to scratch, to carve","[gr. γράφω ‘ritze ein, schreibe’{0}",NYI,NYI,NYI,liv
*geu̯h₂-{1},call,?gr. γοάω ‘wehklage’{3},NYI,NYI,NYI,liv
*glei̯H-{1},to spread; to stick,"[air. -glen ‘kleben bleiben’{2}, kymr. glyn- ‘anhängen’",NYI,NYI,NYI,liv
*gres-{1},"eat, devour",[ved. grásate ‘verschlingt’{2},NYI,NYI,NYI,liv
*gʰebʰ-{1},"fassen, nehmen; geben",got. (+) giban ‘geben’,NYI,NYI,NYI,liv
*gʰed-{1},to grasp/ to comprehend/ to understand,[gr. ἔχαδον ‘faßte’{2},NYI,NYI,NYI,liv
*gʰeh₁-,"come, reach",[arm. gam ‘komme’{1},NYI,NYI,NYI,liv
*gʰerdʰ-{1},"enclose, gird",an. (+) gyrða ‘gürten’{2},NYI,NYI,NYI,liv
*gʰlendʰ-{1},"look, gaze; shine","[air. -gleinn ‘untersucht, lernt, wählt aus’; bret. gou-lenn ‘verlangen’, di-lenn ‘auswählen’{3}",NYI,NYI,NYI,liv
*gʰrebh₂-{1},to seize,heth. kar(ap)p- ‘aufheben’{1a},NYI,NYI,NYI,liv
*gʰreh₁u̯-{1},"fall, rush","[gr. ἔχραον ‘fiel an, überfiel’{2}",NYI,NYI,NYI,liv
*gʰrei̯-,"spread, apply ointment","lit. grejù, (griẽti) ‘Sahne abschöpfen’",NYI,NYI,NYI,liv
*gʰrem-,"roar, rage",jav. graməṇt- ‘wütend’{2},NYI,NYI,NYI,liv
*gʷeh₂-,"to set foot, to step on","ved. ágāt ‘ist (wohin) getreten, gegangen’",NYI,NYI,NYI,liv
*gʷeh₂bʰ-{1},depress,gr. βάπτω ‘tauche (ein)’,NYI,NYI,NYI,liv
*gʷeh₂dʰ-{1},dive in,"air. -bádi ‘taucht etw. unter, ertränkt’; mkymr. bawd ‘ertränkt; ertrinkt’{2}",NYI,NYI,NYI,liv
*gʷei̯-{1},"(be)siegen, gewinnen","ved. jeṣ ‘du siegst’, 2d Ipv. jitam ‘gewinnt!’{2}",NYI,NYI,NYI,liv
*gʷelh₁-{1},"meeting, throwing",gr. hom. -βλήτην ‘trafen’{3},NYI,NYI,NYI,liv
*gʷem-,"(wohin) gehen, kommen","ved. ágan, ágman ‘ist/sind gegangen, gekommen’{1}",NYI,NYI,NYI,liv
*gʷerH-{1},Express agreement.,ved. 3s Inj. Med. prá gūrta ‘begrüßt’{2},NYI,NYI,NYI,liv
*gʷerh₃-,to devour,ved. Konj. garan ‘sollen verschlingen’{1},NYI,NYI,NYI,liv
*gʷg̑ʰer-{1},"im Wasser dahintreiben, fließen’{1a}","[ved. kṣárati ‘fließt, strömt’, pāli kharati ‘fließt’, pa-ggharati ‘fließt aus’, pkt. jharaï ‘tropft’",NYI,NYI,NYI,liv
*gʷi̯eh₃-{1},live,?[arm. keam ‘lebe’{2},NYI,NYI,NYI,liv
*gʷʰedʰ-,"ask, wish",jav. jaiδiiemi ‘bitte’,NYI,NYI,NYI,liv
*gʷʰen-,to hit,"heth. kuenzi, kunanzi ‘schlagen, töten’; lyk. 3p qãñti ‘zerstören’{1a}",NYI,NYI,NYI,liv
*gʷʰer-,to warm up,"[arm. ǰeraw ‘fieberte, war krank’, ǰer̄aw ‘wärmte sich’{1}",NYI,NYI,NYI,liv
*gʷʰreh₁-{1},to smell something,[gr. ion. att. ὀσ-φρέσθαι ‘riechen’{2},NYI,NYI,NYI,liv
*g̑ar-{1},"sound, call",oss. zæl- ‘tönen’{2},NYI,NYI,NYI,liv
*g̑ei̯H-{1},"sprout, germinate",[got. (+) keinan ‘keimen’{2},NYI,NYI,NYI,liv
*g̑elh₂-{1},to burst out laughing,"?[gr. lesb. γέλαν ‘lachten’{2}, [gr. ἐγέλασσε ‘lachte’{3}",NYI,NYI,NYI,liv
*g̑embʰ-,"snap, (dis)bite","?[ved. Konj. jambhiṣat RV 10,86,4 ‘soll schnappen’{1a}",NYI,NYI,NYI,liv
*g̑enh₁-{1},generate,"ved. ajani RV 8,6,10 ‘ich bin geboren’{3}",NYI,NYI,NYI,liv
*g̑erh₂-,"wear out, make old","[ved. jurátam RV 1,182,3 ‘macht hinfällig!’{3}",NYI,NYI,NYI,liv
*g̑eu̯s-,cost,ved. juṣāṇá- ‘Gefallen findend an’{1},NYI,NYI,NYI,liv
*g̑i̯eu̯H-{1},to chew,[mp. manich. žw- ‘kauen’{2},NYI,NYI,NYI,liv
*g̑neh₃-,recognize,"ved. jñeyā́s RV 2,10,6 ‘möchtest du kennenlernen!’{1}",NYI,NYI,NYI,liv
*g̑u̯elH-{1},"burn, flame","ved. (Br.) jválati ‘brennt, flammt’{2}",NYI,NYI,NYI,liv
*g̑ʰed-{1},"scheißen"" [UNKNOWN]",gr. att. χέζω ‘scheiße’,NYI,NYI,NYI,liv
*g̑ʰeh₁-{1},leave behind,"ved. jáhāti ‘verläßt, läßt zurück’",NYI,NYI,NYI,liv
*g̑ʰeh₁i̯-{1},"open one's mouth wide, yawn","[ahd. (+) ginēn ‘gähnen’{2}; [an. (+) gína ‘gähnen, schnappen’{3},## [ahd. (+) int-ginnan ‘anschneiden’{4}",NYI,NYI,NYI,liv
*g̑ʰei̯s-{1},to frighten/startle,ved. (AV) hinásti ‘verletzt’{3},NYI,NYI,NYI,liv
*g̑ʰei̯sd-{1},to frighten sb.,"ved. á-heḍant-, á-heḍamāna- ‘nicht zürnend’",NYI,NYI,NYI,liv
*g̑ʰengʰ-{1},to stride,"?[air. -cing, cengait ‘(vorwärts) gehen, schreiten’, mkymr. ry-gyng ‘geht im Paßgang’{3}",NYI,NYI,NYI,liv
*g̑ʰers-{1},"to resist, to stiffen","ved. hr̥ṣyati ‘wird starr, erschaudert; freut sich’{2}",NYI,NYI,NYI,liv
*g̑ʰeu̯-,pour,gr. ep. ἔχυτο ‘ergoß sich’,NYI,NYI,NYI,liv
*g̑ʰu̯eH-{1},call,"ved. huvā, hūmáhe ‘rufe(n) an’{2}",NYI,NYI,NYI,liv
*g̑ʰu̯en-{1},sound,"r.-ksl. zvьnju, (zvьněti) ‘klingen, tönen’",NYI,NYI,NYI,liv
*g̑ʰu̯er-{1},walk crooked,"ved. hvárate ‘geht in Krümmungen’, (ŚB) hválati ‘geht schief, strauchelt’",NYI,NYI,NYI,liv
*h₁ed-,(bite →) eat,"heth. ēdmi, adanzi ‘essen’{4}",NYI,NYI,NYI,liv
*h₁egʷʰ-{1},drink,"[heth. ekuzi/eukzi, akuanzi ‘trinken’{2}, pal. ahuwānti ‘trinken’",NYI,NYI,NYI,liv
*h₁eh₁s0-,to sit,"heth. ēsa ‘sitzt, setzt sich’{1}",NYI,NYI,NYI,liv
*h₁ei̯-,go,"heth. (+) Ipv. it ‘geh!’{1}, kluw. iti /idi/ ‘geht’{1a}",NYI,NYI,NYI,liv
*h₁ei̯sh₂-{1},strengthen; drive,[gr. ῑ̓άομαι ‘heile’{2},NYI,NYI,NYI,liv
*h₁em-,take,?[heth. w-emiyezzi ‘findet’{6},NYI,NYI,NYI,liv
*h₁ep-{0},"grasp, seize","heth. ēpzi, appanzi ‘ergreifen’, Prät. ēppun{2}",NYI,NYI,NYI,liv
*h₁er-{1},"where to get, to end up",heth. arta ‘stellte sich; stand’{2},NYI,NYI,NYI,liv
*h₁erH-{1},wash,toch.A Absolutiv yāyruräṣ ‘gebadet habend’{2},NYI,NYI,NYI,liv
*h₁erg̑ʰ-{1},climb,aheth. arkatta ‘bespringt’{3},NYI,NYI,NYI,liv
*h₁erkʷ-{1},"shine, sing","heth. arkuwanzi ‘sie singen’, 3s Prät. arkutta{1a}",NYI,NYI,NYI,liv
*h₁ers-,flow,"heth. āraszi, arsanzi ‘fließen’{1}",NYI,NYI,NYI,liv
*h₁eu̯-{1},"see, catch sight of","ved. 1s Med. uvā RV 10,86,7 ‘ich sehe (an mir)’{2}",NYI,NYI,NYI,liv
*h₁eu̯H-{1},"help, promote",ved. ā́vit ‘hat geholfen’{2},NYI,NYI,NYI,liv
*h₁eu̯k-,"to get used to, to learn",arm. owsaw ‘lernte’{1},NYI,NYI,NYI,liv
*h₁eu̯s-,"burn, singe",ved. óṣati ‘verbrennt etw.’{1},NYI,NYI,NYI,liv
*h₁ger-{1},wake up,[gr. ἔγρετο ‘erwachte’,NYI,NYI,NYI,liv
*h₁lei̯g̑-,to start trembling/quivering,"ved. rājate ‘zittert, bebt’{2}",NYI,NYI,NYI,liv
