root,meaning,derivative,derivative meaning,language,form,dictionary
*delh₁-{1},split,"lit. žemait. delù, (dìlti) ‘sich abnutzen, schwinden’, lett. dȩlu, dil̂t ‘abnehmen, sich verschleißen’{3}",NYI,NYI,NYI,liv
*denk̑-{1},to bite,[ved. Präs. dáśati ‘beißt’{2},NYI,NYI,NYI,liv
*dens-,become proficient,"aav. Inj. Akt. didąs ‘lehrt’{3}, 1s Med. dīdaiŋ́hē ‘erfahre, lerne kennen’",NYI,NYI,NYI,liv
*dens-,become skillful,"aav. Inj. Akt. didąs ‘lehrt’{3}, 1s Med. dīdaiŋ́hē ‘erfahre, lerne kennen’",NYI,NYI,NYI,liv
*der-{1},tear (intrans.),ved. dárt ‘zerstiebt; zerspaltet’{3},NYI,NYI,NYI,liv
*der-{1},shatter.,ved. dárt ‘zerstiebt; zerspaltet’{3},NYI,NYI,NYI,liv
*derk̑-,hinblicken,ved. dárśam ‘sehe’{2},NYI,NYI,NYI,liv
*derk̑-,erblicken [UNKNOWN],ved. dárśam ‘sehe’{2},NYI,NYI,NYI,liv
*des-{1},find,alb. n-dieh ‘sich befinden’{2},NYI,NYI,NYI,liv
*des-{1},encounter,alb. n-dieh ‘sich befinden’{2},NYI,NYI,NYI,liv
*deu̯h₂-{1},join together,"toch.B tsuwa ‘fügte sich’{2}, A tswānt ‘fügten sich’",NYI,NYI,NYI,liv
*deu̯k-{0},to pull/draw/move,[oss. (+) duc-/doc- ‘melken’{1},NYI,NYI,NYI,liv
*dregʰ-{1},to hold on/to grasp/to capture,[jav. dražaite ‘hält’{2},NYI,NYI,NYI,liv
*drep-,tear off,[gr. δραπών Pi. ‘gepflückt habend’{2},NYI,NYI,NYI,liv
*dreu̯-{1},run/walk,ved. drávati ‘läuft’{2},NYI,NYI,NYI,liv
*du̯eH-{1},(ein)tauchen' (intr.),?[arm. enerk ‘tauchte etw. ein’{2},NYI,NYI,NYI,liv
*du̯ei̯-{1},to become frightened,[arm. erkeaw ‘fürchtete sich’{2},NYI,NYI,NYI,liv
*du̯ei̯-{1},to be scared,[arm. erkeaw ‘fürchtete sich’{2},NYI,NYI,NYI,liv
*dʰalh₁-{1},to well up,"[gr. ἔθαλον ‘quoll, strotzte’",NYI,NYI,NYI,liv
*dʰalh₁-{1},to sprout,"[gr. ἔθαλον ‘quoll, strotzte’",NYI,NYI,NYI,liv
*dʰeHbʰ-{1},fit; match; suit,"got. ga-dob ‘ist passend, angemessen’",NYI,NYI,NYI,liv
*dʰebʰ-{1},reduce,"ved. Inj. ā-dabhúr ‘tun etwas an’,## Konj. dabhat ‘wird Schaden zufügen’{2}",NYI,NYI,NYI,liv
*dʰegʷʰ-,treat with fire,ved. dáhati ‘verbrennt (tr.)’,NYI,NYI,NYI,liv
*dʰegʷʰ-,burn (transitive),ved. dáhati ‘verbrennt (tr.)’,NYI,NYI,NYI,liv
*dʰegʷʰh₂-{1},come close: almost reach,[ved. mā́ dhak ‘soll nicht verfehlen’{3},NYI,NYI,NYI,liv
*dʰegʷʰh₂-{1},pass by,[ved. mā́ dhak ‘soll nicht verfehlen’{3},NYI,NYI,NYI,liv
*dʰeh₁-,suck (breast milk),"[kluw. Ptz. titaimi- ‘genährt’, lyk. tideimi ‘Kind’{1}",NYI,NYI,NYI,liv
*dʰeh₁-{0},place,"heth. tēmi, tēzzi ‘sprechen, festsetzen’{2}, pēhu-temi ‘schaffe hin’ u.a.2a; lyk. 3s tadi ‘setzt’, 3p tãti ‘setzen’",NYI,NYI,NYI,liv
*dʰeh₁-{0},lay,"heth. tēmi, tēzzi ‘sprechen, festsetzen’{2}, pēhu-temi ‘schaffe hin’ u.a.2a; lyk. 3s tadi ‘setzt’, 3p tãti ‘setzen’",NYI,NYI,NYI,liv
*dʰeh₁-{0},set; produce,"heth. tēmi, tēzzi ‘sprechen, festsetzen’{2}, pēhu-temi ‘schaffe hin’ u.a.2a; lyk. 3s tadi ‘setzt’, 3p tãti ‘setzen’",NYI,NYI,NYI,liv
*dʰeh₁-{0},make,"heth. tēmi, tēzzi ‘sprechen, festsetzen’{2}, pēhu-temi ‘schaffe hin’ u.a.2a; lyk. 3s tadi ‘setzt’, 3p tãti ‘setzen’",NYI,NYI,NYI,liv
*dʰei̯H-{1},consider,khot. daiyä ‘sieht’{2a},NYI,NYI,NYI,liv
*dʰei̯Hgʷ-{1},stab,"[alat. fiuō, -ere, lat. figere ‘anheften, hineinstecken, durchbohren’{2}",NYI,NYI,NYI,liv
*dʰei̯g̑ʰ-,brush,"ved. Konj. pári … dāhat ‘wird überziehen’, (TS) úd dihanti ‘schichten auf’",NYI,NYI,NYI,liv
*dʰei̯g̑ʰ-,knead,"ved. Konj. pári … dāhat ‘wird überziehen’, (TS) úd dihanti ‘schichten auf’",NYI,NYI,NYI,liv
*dʰelbʰ-,dig,"?[toch.B 3p tsälpāre, A 3s tsälp ‘wurde(n) erlöst’{0}",NYI,NYI,NYI,liv
*dʰelbʰ-,hollow out,"?[toch.B 3p tsälpāre, A 3s tsälp ‘wurde(n) erlöst’{0}",NYI,NYI,NYI,liv
*dʰenh₂-,to get going,[gr. ἔθανον ‘starb’{1},NYI,NYI,NYI,liv
*dʰenh₂-,to make a run for it,[gr. ἔθανον ‘starb’{1},NYI,NYI,NYI,liv
*dʰer-,secure,"ved. 2s Inj. Med. mā́ dhr̥thās AV 3,25,1 ‘halte dich nicht fest!’",NYI,NYI,NYI,liv
*dʰer-,fix,"ved. 2s Inj. Med. mā́ dhr̥thās AV 3,25,1 ‘halte dich nicht fest!’",NYI,NYI,NYI,liv
*dʰerg̑ʰ-,(to) turn (oneself),"arm. Med. darjaw ‘wandte sich um, kehrte zurück’",NYI,NYI,NYI,liv
*dʰerh₃-,mount,[gr. ἔθορον ‘sprang’{1},NYI,NYI,NYI,liv
*dʰers-,Gather courage,"ved. Ptz. dhr̥ṣánt-, fem. dhr̥ṣatī́- ‘mutig’{1}",NYI,NYI,NYI,liv
*dʰeu̯-,run,"[ved. dhā́vati ‘läuft, eilt’{1}, dhávate ‘läuft (dahin)’",NYI,NYI,NYI,liv
*dʰeu̯-,hurry,"[ved. dhā́vati ‘läuft, eilt’{1}, dhávate ‘läuft (dahin)’",NYI,NYI,NYI,liv
*dʰeu̯H-,quickly move back and forth,"[ved. dhā́vati ‘reibt, spült ab’{1}",NYI,NYI,NYI,liv
*dʰeu̯gʰ-,meet/encounter,[gr. ἔτυχον ‘traf’{1a},NYI,NYI,NYI,liv
*dʰgʷʰei̯-{1},(disappear or perish) due to heat,"ved. Ipv. kṣidhī́ SV 1,336 ‘vernichte!’{3}",NYI,NYI,NYI,liv
*dʰgʷʰei̯-{1},to go under,"ved. Ipv. kṣidhī́ SV 1,336 ‘vernichte!’{3}",NYI,NYI,NYI,liv
*dʰmeH-{1},blow,[ved. dhámati ‘bläst’{2},NYI,NYI,NYI,liv
*dʰrebʰ-,to separate,[gr. ἔτραφον ‘wuchs auf’{2},NYI,NYI,NYI,liv
*dʰrebʰ-,to settle,[gr. ἔτραφον ‘wuchs auf’{2},NYI,NYI,NYI,liv
*dʰrebʰ-,to curdle,[gr. ἔτραφον ‘wuchs auf’{2},NYI,NYI,NYI,liv
*dʰregʰ/g̑ʰ-{0},to drag,"[gr. τρέχω, Pi. τράχω ‘laufe’{1}",NYI,NYI,NYI,liv
*dʰregʰ/g̑ʰ-{0},to pull,"[gr. τρέχω, Pi. τράχω ‘laufe’{1}",NYI,NYI,NYI,liv
*dʰreh₂gʰ-,to be agitated,"gr. θρᾱ́σσω, ταράσσω ‘verwirre’{1}",NYI,NYI,NYI,liv
*dʰreh₂gʰ-,to be stirred up,"gr. θρᾱ́σσω, ταράσσω ‘verwirre’{1}",NYI,NYI,NYI,liv
*dʰreu̯bʰ-{1},break,"gr. θρύπτω ‘zerbreche, zerbröckle (tr.)’",NYI,NYI,NYI,liv
*dʰreu̯bʰ-{1},crumble,"gr. θρύπτω ‘zerbreche, zerbröckle (tr.)’",NYI,NYI,NYI,liv
*dʰu̯eh₂-{1},to make smoke,[gr. θύω ‘opfere (durch Verbrennen)’{3},NYI,NYI,NYI,liv
*dʰu̯en-,sound,ved. (KS) adhvanat ‘tönte’{1},NYI,NYI,NYI,liv
*dʰu̯enH-{1},smoking,ved. ádhvanit ‘qualmte’{2},NYI,NYI,NYI,liv
*dʰu̯ens-{1},dissipate,"ved. 3p Inj. ati-dhvasán RV 8,55,5 ‘hüllen (die Wege) in Staub’{2}",NYI,NYI,NYI,liv
*dʰu̯es-{1},(inhale,"[aksl. iz-dъše ‘hauchte aus, gab den Geist auf’",NYI,NYI,NYI,liv
*dʰu̯es-{1},exhale) breathe,"[aksl. iz-dъše ‘hauchte aus, gab den Geist auf’",NYI,NYI,NYI,liv
*geH-{1},sing,ved. gā́yati ‘singt’,NYI,NYI,NYI,liv
*geg̑ʰ-{1},(into the water) penetrate,"[ved. gāhate ‘dringt ein, steigt ins Wasser’{2}",NYI,NYI,NYI,liv
*geg̑ʰ-{1},wade in,"[ved. gāhate ‘dringt ein, steigt ins Wasser’{2}",NYI,NYI,NYI,liv
*geldʰ-{1},becoming greedy,[ved. ágr̥dhat ‘ist gierig geworden’,NYI,NYI,NYI,liv
*geldʰ-{1},becoming hungry,[ved. ágr̥dhat ‘ist gierig geworden’,NYI,NYI,NYI,liv
*gerdʰ-,hear; sound,"arm. kardam ‘rufe, nenne’{2}",NYI,NYI,NYI,liv
*gʰrend-{1},"(zer)reiben"" [UNKNOWN]","lat. frendō, -ere ‘Zähne knirschen, zermalmen’",NYI,NYI,NYI,liv
*g/g̑eh₂dʰ-{1},to be filled with joy,"toch.B kāccäṃ ‘freut sich’, A kāckäc ‘ihr freut euch’{3}",NYI,NYI,NYI,liv
*g/g̑eh₂u̯-{1},to be happy,gr. γάνυται ‘ergötzt sich’{2},NYI,NYI,NYI,liv
*g/g̑ei̯s-{1},to turn,"heth. kisa ‘wird, geschieht’{2}",NYI,NYI,NYI,liv
*g/g̑ei̯s-{1},to pivot,"heth. kisa ‘wird, geschieht’{2}",NYI,NYI,NYI,liv
*g/g̑el-{1},freeze,"[an. (+) kala ‘kalt werden, frieren’{2}",NYI,NYI,NYI,liv
*g/g̑el-{1},be cold,"[an. (+) kala ‘kalt werden, frieren’{2}",NYI,NYI,NYI,liv
*g/g̑leu̯bʰ-,to cut out,"[gr. ion. att. γλύφω ‘schneide aus, graviere’",NYI,NYI,NYI,liv
*g/g̑ʰan-{1},yawn,"[gr. ἔχανον ‘gähnte, öffnete den Mund’",NYI,NYI,NYI,liv
*g/g̑ʰan-{1},gaping open,"[gr. ἔχανον ‘gähnte, öffnete den Mund’",NYI,NYI,NYI,liv
*gelH0-,Get power over,"arm. kalaw ‘ergriff, fing’{1}",NYI,NYI,NYI,liv
*gem-,press,"?[gr. hom. γέντο ‘faßte, griff’{2}",NYI,NYI,NYI,liv
*gem-,compress; grasp,"?[gr. hom. γέντο ‘faßte, griff’{2}",NYI,NYI,NYI,liv
*gerbʰ-,to scratch,"[gr. γράφω ‘ritze ein, schreibe’{0}",NYI,NYI,NYI,liv
*gerbʰ-,to carve,"[gr. γράφω ‘ritze ein, schreibe’{0}",NYI,NYI,NYI,liv
*geu̯h₂-{1},call,?gr. γοάω ‘wehklage’{3},NYI,NYI,NYI,liv
*glei̯H-{1},to spread; to stick,"[air. -glen ‘kleben bleiben’{2}, kymr. glyn- ‘anhängen’",NYI,NYI,NYI,liv
*gres-{1},eat,[ved. grásate ‘verschlingt’{2},NYI,NYI,NYI,liv
*gres-{1},devour,[ved. grásate ‘verschlingt’{2},NYI,NYI,NYI,liv
*gʰebʰ-{1},fassen,got. (+) giban ‘geben’,NYI,NYI,NYI,liv
*gʰebʰ-{1},nehmen; geben,got. (+) giban ‘geben’,NYI,NYI,NYI,liv
*gʰed-{1},to grasp/ to comprehend/ to understand,[gr. ἔχαδον ‘faßte’{2},NYI,NYI,NYI,liv
*gʰeh₁-,come,[arm. gam ‘komme’{1},NYI,NYI,NYI,liv
